"","S1_bulk1","S1_bulk2","S1_bulk3","S1_bulk4","S1_bulk5","S1_rAo1","S1_rAo2","S1_rAo3","S1_rAo4","S1_rAo5","S1_rAo6","S2_bulk1","S2_bulk2","S2_bulk3","S2_bulk4","S2_bulk5","S2_rVo1","S2_rVo2","S2_rVo3","S2_rVo4","S2_rVo5","S2_rVo6","S2_rVo7","S1_bulk6","S1_bulk7","S1_bulk8","S1_bulk9","S1_bulk10","S1_rAo7","S1_rAo8","S1_rAo9","S1_rAo10","S2_bulk6","S2_bulk7","S2_bulk8","S2_bulk9","S2_bulk10","S2_rVo8","S2_rVo9","S2_rVo10"
"OTU_36",0,37,73,0,60,0,6,0,0,0,0,92,111,117,126,65,151,111,36,0,9,78,71,0,0,11,0,19,23,0,0,0,93,91,55,136,82,250,138,108
"OTU_37",23,54,66,23,135,0,40,0,0,0,0,24,78,131,54,17,83,61,37,24,65,23,8,8,0,24,19,50,171,36,44,0,70,66,51,142,39,52,120,44
"OTU_38",0,27,65,27,29,0,22,0,0,0,0,73,50,316,150,88,96,49,50,10,24,50,13,0,0,0,0,9,0,0,0,0,117,49,42,163,156,47,112,32
"OTU_39",0,116,294,86,109,0,177,13,0,0,0,117,151,70,115,97,162,178,143,59,617,56,141,11,0,17,0,0,105,53,144,0,132,256,113,104,207,589,148,164
"OTU_40",0,0,0,0,0,0,0,0,0,0,0,122,70,148,85,93,220,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,78,92,103,82,142,54,36,54
"OTU_41",0,0,0,0,0,0,0,0,0,0,0,83,21,160,87,33,68,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,56,142,77,5,0,0
"OTU_42",0,110,175,0,15,24,21,0,0,0,0,15,10,319,79,93,9,0,84,33,21,0,21,17,0,0,0,13,71,0,0,0,18,42,0,342,209,59,14,0
"OTU_43",48,22,80,13,0,30,63,48,0,546,290,3,18,0,0,82,22,216,174,128,101,0,44,50,29,64,10,52,26,0,83,154,136,49,65,14,142,167,66,13
"OTU_44",209,110,72,51,53,40,79,81,99,64,146,53,87,64,87,230,70,237,256,22,323,54,104,9,243,149,38,85,396,154,16,109,131,134,140,92,254,341,188,172
"OTU_45",0,0,64,0,28,0,52,19,23,35,17,51,21,2,0,50,87,34,27,0,16,11,75,44,21,14,0,95,9,0,13,0,13,44,9,17,62,12,34,44
"OTU_46",361,124,183,15,138,230,250,78,44,75,26,125,139,367,225,174,199,85,117,0,151,56,78,239,116,341,445,333,174,191,361,0,303,231,224,501,392,89,103,124
"OTU_47",0,0,0,0,0,0,0,0,0,0,0,0,0,17,12,7,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,8,0,0
"OTU_48",0,0,87,304,0,0,32,0,0,19,30,0,297,0,68,260,83,264,535,2358,1143,83,635,132,0,0,0,0,144,0,181,0,599,772,1526,3,808,45,297,0
"OTU_49",110,142,176,0,60,29,13,46,183,0,5,62,46,64,90,64,76,35,73,0,13,48,50,27,70,73,49,50,46,0,8,6,72,62,51,111,197,78,76,81
"OTU_50",0,0,0,0,0,0,0,0,0,0,0,59,26,75,44,28,83,21,11,0,0,7,0,0,0,0,0,0,0,0,0,0,21,20,0,61,70,51,11,20
"OTU_51",0,0,0,0,0,61,7,23,0,56,0,85,50,36,23,83,207,219,11,0,0,107,99,9,23,9,0,6,28,0,21,0,24,30,65,34,28,364,84,642
"OTU_52",0,0,0,0,0,0,0,0,0,0,9,47,33,33,0,13,50,35,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,39,0,13
"OTU_54",0,0,0,0,0,0,0,0,0,25,32,13,0,54,25,58,0,45,5,0,0,0,0,0,5,0,0,0,0,0,0,0,72,0,13,133,43,78,0,26
"OTU_55",0,0,0,0,8,21,63,0,0,3,0,105,65,26,119,77,159,513,53,92,28,200,272,0,0,0,0,0,58,0,26,0,69,123,147,74,66,539,211,970
"OTU_56",221,317,307,0,370,86,223,41,84,0,12,213,147,196,253,148,284,94,149,25,55,138,16,46,8,112,195,218,225,126,246,0,228,257,0,428,182,202,408,92
"OTU_57",0,0,0,0,0,0,0,0,0,0,0,0,9,9,11,42,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,1,12,92,0,0,0
"OTU_58",0,11,15,10,99,8,61,0,0,0,0,338,152,35,194,157,552,514,85,32,52,242,484,0,15,10,0,14,112,24,20,0,116,287,155,143,61,393,178,857
"OTU_59",0,26,42,0,14,0,0,0,0,0,0,19,85,42,14,109,49,61,16,0,42,15,42,0,0,0,0,0,0,0,6,0,95,38,67,15,194,135,44,56
"OTU_60",0,589,840,48,397,0,351,127,24,0,0,182,209,301,738,178,306,0,399,17,671,155,106,21,0,900,0,178,250,668,944,0,436,952,128,483,242,132,173,181
"OTU_61",0,32,36,31,53,0,46,0,0,0,0,121,183,147,159,166,275,46,342,100,196,103,135,0,0,0,0,40,0,0,42,0,128,233,364,149,346,195,97,158
"OTU_62",0,21,134,48,85,0,142,0,0,0,0,42,52,37,80,173,55,41,145,0,93,52,52,30,0,0,0,0,42,0,40,0,78,138,90,75,298,44,106,90
"OTU_63",0,81,20,0,0,0,0,0,0,0,0,78,96,130,134,123,85,17,164,0,48,19,9,0,0,0,0,0,0,0,0,0,174,137,42,109,146,300,14,42
"OTU_64",0,61,869,0,13,0,26,12,0,122,18,0,32,54,0,16,9,69,106,397,75,0,30,41,14,0,0,363,19,28,27,17,19,57,28,32,67,72,125,40
"OTU_65",0,0,0,0,0,0,0,0,0,0,0,0,0,26,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,6,58,55,13,0,0
"OTU_66",59,25,36,4,37,46,6,0,0,0,0,18,48,121,100,32,51,0,31,0,18,12,13,10,0,0,24,0,13,0,10,0,74,66,20,114,73,28,34,28
"OTU_67",0,130,194,274,62,64,150,61,33,854,316,86,197,98,38,145,128,198,545,643,420,51,121,69,30,41,0,15,303,172,231,16,226,155,250,64,289,95,255,85
"OTU_68",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,16,41,12,26
