"","S1_bulk1","S1_bulk2","S1_bulk3","S1_bulk4","S1_bulk5","S1_rAo1","S1_rAo2","S1_rAo3","S1_rAo4","S1_rAo5","S1_rAo6","S2_bulk1","S2_bulk2","S2_bulk3","S2_bulk4","S2_bulk5","S2_rVo1","S2_rVo2","S2_rVo3","S2_rVo4","S2_rVo5","S2_rVo6","S2_rVo7","S1_bulk6","S1_bulk7","S1_bulk8","S1_bulk9","S1_bulk10","S1_rAo7","S1_rAo8","S1_rAo9","S1_rAo10","S2_bulk6","S2_bulk7","S2_bulk8","S2_bulk9","S2_bulk10","S2_rVo8","S2_rVo9","S2_rVo10"
"OTU_829",0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,9,35,11,1,21,25,3,27,0,0,0,0,0,0,0,0,0,38,0,0,0,18,11,23
"OTU_830",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,30,34,493,98,0,0,0,0,0,0,0,0,0,0,0,274,30,438,0,109,0,25,0
"OTU_831",0,0,37,0,8,0,0,0,0,0,0,0,9,0,0,11,9,36,23,0,0,41,16,0,6,0,0,0,0,0,0,0,23,34,8,0,17,72,63,47
"OTU_832",0,15,38,0,29,0,0,0,0,0,0,0,7,29,17,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,14,11,84,0,0,30,0
"OTU_833",0,0,0,0,0,5,0,0,0,0,6,0,0,0,3,0,0,65,1,27,0,8,0,6,0,0,0,0,0,0,0,0,16,0,22,0,0,24,18,14
"OTU_836",0,0,33,10,16,0,8,0,0,0,0,0,20,0,11,25,6,17,25,0,8,11,12,0,0,0,0,0,0,0,18,0,26,41,8,9,57,46,39,37
"OTU_838",0,0,13,0,0,12,10,0,0,0,0,0,7,0,0,13,5,60,0,12,0,16,18,0,0,3,0,0,28,0,0,0,0,0,7,0,0,23,9,64
"OTU_839",3,0,20,0,31,0,8,0,0,0,0,13,7,19,15,8,22,0,11,0,0,5,26,3,0,0,0,0,0,0,0,0,8,16,8,0,20,14,6,12
"OTU_840",0,0,21,12,0,0,0,1,0,24,0,5,0,0,0,16,29,48,22,2,7,17,79,0,58,0,0,0,0,0,28,13,0,38,20,0,59,111,22,62
"OTU_841",0,0,0,0,6,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"OTU_842",0,0,0,0,0,0,20,6,13,18,5,0,2,0,8,11,0,0,0,0,0,21,2,22,7,0,0,0,73,2,19,0,0,13,0,0,0,25,0,26
"OTU_844",0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,11,4,5,0,0,0,18,38,0,0,0,0,0,0,0,0,0,8,0,0,0,0,5,5,6
"OTU_846",380,0,0,0,0,303,5,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,47,0,0,731,0,21,0,0,0,0,0,0,0,0,0,0,0
"OTU_850",0,0,24,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,15,0,0,0,0,0,0,0,0,27,0,0,0
"OTU_851",0,0,0,0,0,23,39,0,0,23,36,0,47,47,0,26,26,32,38,139,0,36,30,100,83,12,0,0,214,0,11,0,0,16,19,0,0,30,0,12
"OTU_853",6,0,0,0,10,0,0,0,0,0,0,15,0,0,0,9,14,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,21,9,7,0
"OTU_855",168,96,45,0,164,0,20,33,0,0,0,18,19,48,45,0,33,0,17,0,18,20,0,0,0,151,105,10,0,18,100,0,27,60,9,254,0,3,5,0
"OTU_856",0,0,0,0,0,0,0,0,0,0,0,15,0,0,10,17,30,0,15,0,0,33,42,0,0,0,0,0,0,0,0,0,0,44,0,8,0,0,0,34
"OTU_857",0,0,0,0,0,4,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,14,0,0,34,0,0,0,10,0,0,0,0,0,20,0,10,0,0,0
"OTU_859",0,41,5,0,0,15,106,86,43,48,10,0,24,0,0,0,37,72,0,0,5,54,13,0,27,36,18,0,0,0,22,32,4,7,0,0,38,43,165,71
"OTU_860",0,26,37,37,6,0,30,0,0,58,0,0,12,4,9,9,17,15,115,30,84,4,6,0,0,0,0,42,144,17,16,4,25,13,9,3,60,14,15,7
"OTU_862",0,0,47,0,0,321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182,0,0,0,0,0,0,0,0,171,0,0,0,0
"OTU_863",0,78,43,0,69,0,0,0,0,0,0,53,33,248,150,7,97,0,10,0,47,0,0,0,0,0,0,0,0,0,0,0,44,83,45,135,0,0,19,0
"OTU_864",0,0,0,0,0,0,0,203,70,326,191,0,0,0,0,0,14,0,59,36,27,0,0,0,102,0,0,11,0,243,35,150,0,0,0,0,0,0,0,0
"OTU_865",0,0,1,0,0,0,6,0,0,0,0,0,20,0,3,0,4,5,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,12,0
"OTU_866",43,0,0,0,0,56,19,0,0,0,0,0,8,62,63,20,0,4,0,0,11,0,0,14,0,0,105,16,0,0,0,0,25,10,18,109,40,0,0,0
"OTU_867",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,0,0,0,0,19,0,0,0,0,0,0,0,19,0,0,0,0,0,0,67,0,46
"OTU_868",88,17,7,0,14,7,0,0,39,0,0,23,14,37,103,10,48,2,0,0,53,18,18,0,3,0,0,0,5,29,0,0,37,91,25,58,3,15,0,3
"OTU_869",0,0,0,0,7,0,0,0,0,0,0,0,0,0,7,11,23,0,21,0,0,11,35,0,0,0,0,0,0,0,0,0,0,30,30,10,22,30,12,30
"OTU_870",0,0,9,0,0,0,10,0,0,0,0,0,8,0,0,19,16,10,1,0,0,0,10,0,0,0,0,0,0,0,0,0,13,22,0,0,69,24,0,32
"OTU_871",140,0,0,0,0,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0
"OTU_872",33,60,30,0,92,9,23,27,99,83,13,0,20,34,48,14,16,0,31,0,64,5,0,25,70,75,27,57,29,65,65,135,19,26,0,47,12,0,42,5
"OTU_874",0,0,11,22,12,0,39,0,0,0,0,0,9,0,0,19,1,27,27,38,44,9,28,0,0,0,0,10,5,0,0,0,3,7,18,9,19,10,4,20
"OTU_876",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,18,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,40
"OTU_877",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,10,20,19,0,0,0
"OTU_879",0,0,0,0,0,0,0,0,20,253,527,0,0,0,0,0,0,0,0,0,0,0,0,0,305,0,0,0,0,0,0,334,0,0,0,0,0,0,0,0
"OTU_881",0,0,0,0,0,0,0,0,0,0,106,0,0,0,0,0,0,0,0,0,0,0,0,0,84,14,17,0,0,0,0,13,0,0,0,0,0,0,0,0
"OTU_883",0,0,0,345,7,0,22,0,15,0,12,0,0,0,0,0,0,0,18,11,34,0,0,893,0,0,0,9,63,0,0,0,0,0,0,0,0,0,0,0
"OTU_884",11,17,6,0,27,0,2,25,55,2,2,0,0,13,2,13,11,1,15,0,10,3,12,0,34,7,2,0,0,1,11,11,6,17,1,0,10,5,16,4
"OTU_885",0,0,42,0,0,0,0,0,0,0,0,0,0,0,13,0,20,48,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,12,22,30,45,21
"OTU_886",20,19,37,9,0,20,169,0,0,0,0,6,22,8,0,0,0,23,84,0,20,0,0,0,0,58,69,55,0,0,30,0,25,19,0,31,21,0,26,17
"OTU_887",0,7,6,0,0,52,17,0,0,0,37,2,13,6,0,0,34,0,0,0,0,1,1,0,0,0,9,0,0,0,0,0,1,0,0,0,0,0,0,7
"OTU_888",0,18,64,0,14,10,0,7,0,12,0,5,14,0,0,13,3,20,13,0,1,36,0,0,0,5,0,32,0,0,0,3,21,62,0,9,14,31,58,24
"OTU_889",0,0,8,5,0,0,0,0,0,0,0,0,0,0,0,25,16,33,8,0,9,11,0,0,0,0,0,0,0,0,0,0,0,16,17,0,0,37,20,31
"OTU_890",0,0,0,0,2,0,11,5,10,0,0,7,0,12,6,10,1,2,8,4,2,4,3,0,11,1,0,0,11,0,6,0,0,1,6,137,20,3,0,0
"OTU_891",0,26,68,0,35,0,0,0,0,0,0,17,43,27,73,8,0,0,20,8,115,26,0,0,0,0,0,0,0,0,0,0,28,66,29,105,0,5,46,0
"OTU_893",0,0,0,0,33,7,5,0,0,0,0,37,48,103,62,25,63,0,0,0,0,30,59,0,0,0,0,0,6,0,2,0,43,0,31,0,20,32,31,38
"OTU_894",7,44,104,15,65,64,31,18,0,0,19,8,19,18,11,0,0,0,100,19,92,7,0,75,0,130,35,50,308,26,45,0,24,45,0,34,0,0,0,0
"OTU_895",56,0,0,0,0,0,12,0,16,0,0,0,0,75,0,33,31,0,0,0,11,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,27,23,38,0
"OTU_896",0,47,18,6,37,2,0,12,196,0,0,71,60,15,33,0,38,0,275,55,39,9,174,0,1,18,0,0,10,26,2,0,27,98,89,0,0,0,0,0
"OTU_898",0,0,0,0,0,30,0,90,0,87,37,10,9,0,0,5,0,18,0,8,0,22,13,0,168,5,0,0,0,0,0,112,0,0,10,0,0,44,0,46
"OTU_899",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,33,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,75,55
"OTU_900",0,32,72,0,50,0,0,27,0,0,0,16,0,10,30,0,34,0,21,0,30,24,0,0,0,0,0,49,31,0,79,23,51,42,9,32,39,54,40,0
"OTU_901",382,192,103,0,66,0,35,0,0,0,0,14,26,24,52,0,20,0,17,0,41,30,0,12,0,30,6,126,0,0,32,0,8,32,21,35,0,0,97,0
"OTU_902",0,0,0,16,18,0,0,0,0,0,0,7,0,9,0,16,22,25,25,0,0,22,29,0,0,0,0,35,15,0,0,0,0,0,0,0,0,24,21,23
"OTU_905",290,0,1,35,0,105,56,0,0,0,0,8,0,28,42,0,17,0,10,0,0,0,0,52,0,61,320,27,10,0,58,0,51,66,16,47,8,0,0,0
"OTU_906",0,0,0,0,0,0,7,9,0,0,0,21,52,0,31,21,66,53,19,15,12,51,66,0,36,0,0,0,0,0,28,0,28,46,28,0,0,56,69,86
"OTU_907",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,23,20,17,0
"OTU_909",0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,109,191,0,426,0,0,0,0,0,0,0,0
"OTU_910",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,10,37,0,13,0,4,9,0,0,0,0,0,0,0,0,0,0,7,0,0,6,0,29,0
"OTU_911",0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,18,0,0,0,0,0,0,7,0,0,0,0,0,3,0,0,0,34,0,0,0,0,0,0,0
"OTU_913",0,0,19,0,7,0,0,0,0,0,0,25,0,0,0,11,33,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,30,0,46,15,29,0,18
"OTU_916",81,3,0,17,0,287,31,128,130,0,116,18,21,0,0,0,0,0,0,0,0,0,0,77,117,70,70,24,55,9,0,0,0,0,0,0,0,0,0,0
"OTU_917",0,0,0,21,0,0,26,0,0,0,0,0,0,0,0,59,23,0,0,10,22,0,109,0,0,0,0,18,0,0,0,0,33,20,18,0,122,52,33,70
"OTU_918",0,0,0,0,17,14,0,0,0,0,0,8,0,0,25,0,42,1,0,0,13,0,0,0,0,37,0,0,45,0,0,0,35,16,0,1,0,0,9,10
"OTU_919",0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,7,11,28,23,0,0,0,13,0,0,0,0,0,0,0,0,0,14,13,10,0,10,52,18,0
"OTU_920",0,24,128,45,15,0,164,0,0,0,0,0,0,0,8,0,0,0,137,0,186,6,0,0,0,25,0,14,256,185,77,0,0,34,34,16,0,0,8,7
"OTU_921",0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
"OTU_922",0,0,0,17,0,0,0,14,9,100,18,0,18,0,0,0,8,0,49,33,39,0,64,0,0,0,7,0,0,37,0,0,0,51,25,25,0,21,0,0
"OTU_923",1,66,120,0,48,0,103,2,2,0,0,0,0,0,13,26,33,23,18,12,22,13,0,0,0,0,0,22,2,3,31,0,10,18,0,28,48,34,82,38
"OTU_924",0,0,0,0,1,0,1,26,89,102,32,15,75,0,3,0,14,0,0,0,24,0,9,0,574,0,0,0,14,1,0,0,0,28,0,0,0,24,3,30
"OTU_927",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0,0
"OTU_928",0,6,0,0,0,0,0,0,0,0,0,0,15,0,0,0,8,11,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,13,0,0,13,0,0,0
"OTU_931",0,0,0,0,108,52,52,24,54,0,0,0,0,58,0,0,0,0,0,0,19,0,0,0,11,0,0,144,15,0,0,0,0,34,0,0,0,0,104,0
"OTU_932",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,34
"OTU_934",0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,4,0,4,0,0,11,0
"OTU_935",0,42,0,0,0,0,7,0,20,0,156,0,0,0,0,6,10,0,0,10,0,21,0,0,0,83,0,0,2,0,0,0,0,0,0,0,0,0,9,3
"OTU_937",0,0,0,0,0,0,0,0,0,0,0,0,6,9,4,14,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,9,24,0,0,0
"OTU_938",19,0,24,0,15,6,0,0,0,10,0,0,15,0,0,0,6,15,0,0,0,14,33,0,0,0,0,22,18,0,0,0,10,9,24,0,2,0,9,34
"OTU_939",0,64,81,118,0,0,0,0,25,0,0,0,0,14,0,0,0,2,77,11,109,9,11,42,34,99,0,56,144,0,59,15,0,57,54,0,75,0,54,0
"OTU_941",103,25,58,0,38,15,10,0,9,0,0,13,16,0,9,0,21,0,38,0,0,0,0,0,0,21,41,30,0,0,0,0,16,13,0,0,0,15,0,0
"OTU_943",0,0,112,274,0,0,0,69,31,0,0,0,0,15,0,0,0,0,5,5,0,0,3,0,99,0,0,0,118,177,0,338,0,0,0,49,0,0,5,0
"OTU_944",28,94,46,4,70,27,135,20,51,0,6,15,16,21,29,0,24,0,49,0,46,0,0,14,27,49,7,47,20,66,84,18,21,29,0,8,0,15,24,14
"OTU_946",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,24,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,11,0,9,11,0,4
"OTU_949",33,46,0,0,38,51,27,33,112,0,54,0,0,35,9,0,0,0,0,0,15,6,0,38,27,183,243,81,77,105,33,0,0,11,0,34,0,0,0,0
"OTU_952",0,0,0,0,0,0,0,0,9,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,7,0,0,0,0,0,0,0,0,10
"OTU_953",0,45,6,0,0,0,0,0,0,0,0,8,24,0,14,14,12,11,0,0,20,0,8,0,0,0,0,0,0,0,0,0,16,21,0,0,23,42,10,48
"OTU_954",0,0,0,0,19,0,7,9,0,0,0,0,0,0,10,8,41,24,0,0,0,8,19,0,0,0,0,0,0,0,0,0,21,2,0,4,9,30,5,50
"OTU_955",0,0,13,0,2,0,0,0,0,0,0,13,9,16,24,15,7,0,0,0,13,8,0,0,0,0,0,0,0,0,0,0,22,14,3,33,33,18,0,0
"OTU_956",0,0,1,0,5,0,0,0,0,0,0,13,2,0,10,3,39,15,1,0,1,0,1,0,0,0,0,26,0,0,0,0,6,1,0,0,0,28,32,12
"OTU_957",0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,17,0,0,0
"OTU_958",0,55,22,40,16,0,159,52,0,0,0,0,7,9,18,0,0,0,17,0,138,5,0,2,0,380,0,70,47,28,106,0,10,50,0,36,0,0,5,0
"OTU_960",14,38,103,0,40,0,5,0,35,0,0,0,0,0,0,13,8,0,11,0,0,11,0,0,0,8,0,27,0,0,0,0,29,13,0,0,18,0,0,0
"OTU_961",0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,14,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,16,0,0,0,17,4,12,0
"OTU_964",0,0,0,12,2,0,53,0,0,0,0,0,8,17,0,5,2,2,0,0,1,0,0,0,0,0,6,33,8,0,2,0,0,0,0,0,3,3,8,8
"OTU_968",0,11,27,22,47,10,4,39,45,447,48,0,0,5,16,0,0,0,48,41,56,0,0,15,120,0,6,26,14,21,21,165,0,0,0,0,0,0,9,0
"OTU_969",0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,21,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
"OTU_970",0,0,0,0,0,0,0,0,0,0,0,32,22,0,40,10,53,5,6,0,12,40,19,0,0,0,0,0,0,0,0,0,26,45,21,22,6,45,11,69
"OTU_971",0,0,0,0,0,8,18,15,0,13,0,17,0,0,17,0,9,0,22,23,21,22,61,9,18,0,0,0,0,0,14,4,22,0,54,19,34,20,33,45
"OTU_972",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,64,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,30,26
"OTU_973",79,7,0,0,0,31,0,94,233,15,66,0,0,0,0,0,0,0,12,0,0,0,0,6,55,162,75,20,12,163,0,217,0,0,0,0,0,0,0,0
"OTU_974",0,0,0,6,0,0,0,0,0,0,1186,0,0,0,0,0,0,0,3,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_977",0,32,41,0,16,0,0,0,0,0,0,0,0,0,0,9,25,18,23,47,70,0,39,0,0,0,0,46,0,0,6,0,0,7,0,10,8,12,0,13
"OTU_979",1,0,0,0,0,185,44,84,480,163,11,0,12,5,0,0,0,0,0,0,0,4,0,0,9,33,0,0,71,0,23,0,0,0,0,0,0,0,0,0
"OTU_980",0,0,0,0,0,37,4,0,5,0,0,6,6,0,0,18,3,59,4,0,0,26,11,0,14,0,8,7,47,0,0,0,0,11,0,0,0,31,4,88
"OTU_981",19,9,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,14,0,0,27,0,0,0,0,0,0,0,0,9,0,0,0,0
"OTU_982",0,0,0,0,0,0,17,0,0,17,0,0,0,0,0,3,0,690,11,50,26,37,18,16,0,0,0,10,0,0,11,0,0,12,36,10,10,45,53,0
"OTU_983",0,7,10,0,0,0,6,0,0,0,0,0,0,0,17,7,17,0,3,0,5,8,0,0,0,56,9,3,9,0,0,0,9,12,0,5,12,0,8,5
"OTU_984",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,31
"OTU_985",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,6,23,9,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_988",0,0,28,0,54,0,11,0,0,0,0,0,29,74,27,14,34,0,0,0,26,0,10,0,0,0,0,14,0,0,0,0,17,47,31,98,24,0,0,0
"OTU_989",0,0,0,351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143,175,371,0,0,41,0,0,0,0,0,0,128,0,0,0,0,0,0,0,0,0
"OTU_992",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,18,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,43,0,15
"OTU_994",0,0,4,0,8,0,0,0,0,0,0,0,10,0,0,0,10,0,77,0,0,0,23,0,0,0,0,0,0,0,3,0,0,23,0,4,0,13,0,20
"OTU_995",0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,17,0,9,51,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0
"OTU_996",460,0,0,0,0,248,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,455,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_997",0,0,0,0,0,0,0,0,0,0,0,7,4,25,23,6,13,0,12,1,3,0,0,0,0,0,0,0,0,0,0,0,11,6,3,25,25,0,0,0
"OTU_1000",0,0,73,0,0,0,0,0,0,0,0,0,0,9,0,0,14,0,0,0,6,0,0,0,0,7,0,6,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1001",0,0,5,15,6,0,6,4,0,0,2,4,22,0,2,0,113,0,30,0,32,0,36,0,0,6,0,0,5,0,0,0,0,30,0,0,14,2,22,2
"OTU_1002",0,0,0,0,0,0,0,0,0,0,0,0,17,12,15,28,15,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,27,0,0,65,71,0,0,0
"OTU_1003",0,0,89,0,6,0,66,0,88,7,0,0,0,7,11,4,0,0,0,9,12,15,0,54,45,0,0,0,12,0,649,0,0,0,11,7,0,0,32,0
"OTU_1005",0,13,12,0,0,0,20,0,0,0,0,0,0,2,0,23,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,34,0,0,0,30,6,0,20
"OTU_1006",0,9,20,0,62,0,87,22,0,0,55,40,37,20,29,0,51,0,0,0,111,21,0,67,27,7,0,8,15,84,112,0,26,37,18,52,0,10,37,0
"OTU_1008",0,0,0,0,0,0,0,0,0,0,0,15,0,0,6,0,22,0,6,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,8,28
"OTU_1011",0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,15,88,0,0,0,0,22,0,0,0,0,0,0,0,10,0,20,0,8,0,0,90,9,38
"OTU_1012",0,0,0,0,0,0,0,0,0,0,0,10,15,0,6,28,19,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,15,3,27,0
"OTU_1013",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,7,25,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,60,3,0,22
"OTU_1014",0,40,168,0,71,0,43,6,17,12,12,13,14,24,48,6,24,12,14,0,16,0,12,0,0,5,0,45,10,14,34,0,55,61,0,19,23,23,15,14
"OTU_1016",19,0,0,0,0,16,0,0,0,0,0,0,0,3,11,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0
"OTU_1017",0,0,0,0,10,0,0,2,0,0,0,0,0,0,0,0,9,22,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,42,8,9
"OTU_1018",0,9,7,0,0,0,0,0,0,0,0,0,5,11,13,12,17,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,15,0,15,6,9,0,13
"OTU_1019",0,0,9,0,0,0,0,0,0,0,0,10,0,0,0,15,18,15,0,0,0,10,21,0,0,0,0,0,0,0,0,0,12,0,6,0,6,34,8,17
"OTU_1020",0,0,10,0,0,0,0,0,0,0,0,0,0,0,10,0,18,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1021",25,0,0,0,8,12,0,0,5,0,18,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,13,0,21,0,0,0,0,0,0,0,0,0,0,0
"OTU_1022",27,25,77,0,25,9,0,9,0,0,0,0,13,27,21,11,9,0,14,0,0,14,0,0,0,23,0,19,9,0,27,0,27,25,0,41,16,25,38,0
"OTU_1023",0,0,0,0,0,0,0,0,0,0,0,8,0,3,6,0,24,37,0,0,0,26,38,0,0,0,29,0,0,0,15,0,23,37,0,22,36,94,47,39
"OTU_1024",57,18,0,0,0,13,73,0,0,0,0,0,42,32,0,0,0,0,0,0,0,0,0,125,292,32,127,20,36,0,0,0,6,0,0,40,0,0,4,0
"OTU_1025",12,41,40,12,69,0,0,14,22,0,0,0,9,13,26,0,29,0,0,0,0,29,6,14,0,62,38,60,69,12,92,0,34,27,14,28,11,0,31,0
"OTU_1026",0,18,14,68,20,0,23,0,13,216,0,0,0,0,62,0,14,0,18,0,15,0,0,22,0,28,0,0,50,17,67,12,67,0,24,150,0,0,0,0
"OTU_1027",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,18,5,0,0,23,6,0,0
"OTU_1028",0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,27,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0
"OTU_1029",55,16,48,0,0,4,37,0,0,0,0,0,0,0,0,13,0,0,26,0,32,0,0,18,0,51,366,34,0,0,20,0,10,0,0,93,6,0,36,15
"OTU_1030",0,0,0,15,0,0,0,0,0,0,0,0,11,0,6,26,0,0,58,0,10,0,6,0,0,0,0,0,0,0,0,0,0,25,0,0,40,34,0,3
"OTU_1031",0,0,6,60,5,0,35,0,14,98,118,0,13,8,6,0,15,55,27,103,13,1,30,57,4,0,0,29,100,6,48,12,14,23,44,6,23,18,1,11
"OTU_1032",43,0,24,0,27,0,40,0,0,18,0,35,0,31,38,13,0,1,21,0,12,0,0,17,0,0,19,78,19,8,2,0,27,23,16,34,0,4,0,7
"OTU_1033",0,0,0,0,0,0,0,0,0,0,0,0,57,12,38,0,0,0,62,31,70,12,0,0,0,0,0,0,0,0,0,0,0,127,20,0,0,0,4,8
"OTU_1034",0,0,0,0,0,94,36,71,0,80,65,0,26,29,0,0,16,0,0,32,0,8,59,97,130,26,0,0,155,0,51,36,0,0,27,0,0,34,0,0
"OTU_1035",0,18,8,5,24,0,6,0,0,0,0,0,17,0,0,18,0,0,18,0,0,0,0,0,0,18,0,7,0,0,0,0,11,0,41,0,65,25,0,0
"OTU_1037",0,0,0,28,0,0,132,24,0,0,0,0,45,0,0,0,32,33,76,215,80,54,68,21,0,0,0,0,0,0,0,0,17,70,51,27,0,79,56,33
"OTU_1038",0,0,19,0,23,0,0,0,0,0,0,27,30,9,0,10,33,0,0,0,0,0,57,0,0,0,0,0,51,0,0,0,0,48,0,0,9,23,24,47
"OTU_1039",0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,13,9,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33
"OTU_1040",0,0,0,12,0,0,75,46,1,0,202,19,35,0,0,0,0,0,0,46,43,0,0,2,103,0,0,0,167,0,0,0,39,98,177,0,72,0,0,0
"OTU_1041",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,43,42,300,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,31,0
"OTU_1042",682,0,6,0,6,20,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,10,2,0,0,0
"OTU_1043",0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,60,0,67,0,45,246,11,104,0,0,0,0,0,0,0,0,0,82,62,35,0,210,0,164,0
"OTU_1044",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,34,1,0
