SampleID,Sample,F_reads_name,R_reads_name,,Isolate_ID,Sample common name,Expedition type,Expedition_ID,Sampling Date,Sampling Time,Collection time zone,Expedition station number,"Coordinates, decimal",Location,Biome,Sample type,Host organism,Body site,Host organism picture,"Depth, m","Elevation, m","Temperature, C",Soil type,Soil horizon,pH,"Salinity, ppt","Conductivity, mS/cm","DNA concentration, ng/mkl",Sequencing method,OTU table,Raw sequencing data,Sequencing data MD5 checksum,Source sample ID,Derivative sample ID,Comments,Presence of antimicrobial activity (cell culture),Presence of antimicrobial activity (cell extract),"DNA concentration after 16S PCR (ng/mkL, Qubit)"
14948,,14948_S245_L001_R1_001.fastq.gz,14948_S245_L001_R2_001.fastq.gz,,,Baikal Soil 5.6 1g Power Soil Pro kit + Evrogen,Terrestrial,28 (Baikal Terrestrial 2023),6/17/2023,,,5,"53.338656 N, 107.274729 E",Baikal Lake,soil,soil,,,,0.20,481.00,16.60,,,,,,35.8,,,,,14677,,,,,
14949,,14949_S246_L001_R1_001.fastq.gz,14949_S246_L001_R2_001.fastq.gz,,,Baikal Soil 5.9 1g Power Soil Pro kit + Evrogen,Terrestrial,28 (Baikal Terrestrial 2023),6/17/2023,,,5,"53.338592 N, 107.274646 E",Baikal Lake,soil,soil,,,,0.20,480.00,16.60,,,,,,29.6,,,,,14680,,,,,
14950,,14950_S247_L001_R1_001.fastq.gz,14950_S247_L001_R2_001.fastq.gz,,,Baikal Soil 5.10 1g Power Soil Pro kit + Evrogen,Terrestrial,28 (Baikal Terrestrial 2023),6/17/2023,,,5,"53.338638 N, 107.274591 E",Baikal Lake,soil,soil,,,,0.20,481.00,16.60,,,,,,9.5,,,,,14681,,,,,
14682,,14682_S191_L001_R1_001.fastq.gz,14682_S191_L001_R2_001.fastq.gz,,,Baikal Rhizosphere 5.1 1g Power Soil Pro kit,Terrestrial,28 (Baikal Terrestrial 2023),6/17/2023,,,5,"53.338639 N, 107.274778 E",Baikal Lake,soil,rhizosphere,Oxytropis triphylla,roots,,0.20,478.00,16.60,,,,,,516,,,,,14350,,,,,
14683,,14683_S192_L001_R1_001.fastq.gz,14683_S192_L001_R2_001.fastq.gz,,,Baikal Rhizosphere 5.2 1g Power Soil Pro kit,Terrestrial,28 (Baikal Terrestrial 2023),6/17/2023,,,5,"53.338662 N, 107.274773 E",Baikal Lake,soil,rhizosphere,Oxytropis triphylla,roots,,0.20,478.00,16.60,,,,,,368,,,,,14351,,,,,
14684,,14684_S193_L001_R1_001.fastq.gz,14684_S193_L001_R2_001.fastq.gz,,,Baikal Rhizosphere 5.3 1g Power Soil Pro kit,Terrestrial,28 (Baikal Terrestrial 2023),6/17/2023,,,5,"53.338716 N, 107.274833 E",Baikal Lake,soil,rhizosphere,Oxytropis triphylla,roots,,0.20,478.00,16.60,,,,,,472,,,,,14352,,,,,
14688,,14688_S194_L001_R1_001.fastq.gz,14688_S194_L001_R2_001.fastq.gz,,,Baikal Rhizosphere 5.7 1g Power Soil Pro kit,Terrestrial,28 (Baikal Terrestrial 2023),6/17/2023,,,5,"53.338769 N, 107.274761 E",Baikal Lake,soil,rhizosphere,Oxytropis triphylla,roots,,0.20,479.00,16.60,,,,,,466,,,,,14356,,,,,
14689,,14689_S195_L001_R1_001.fastq.gz,14689_S195_L001_R2_001.fastq.gz,,,Baikal Rhizosphere 5.8 1g Power Soil Pro kit,Terrestrial,28 (Baikal Terrestrial 2023),6/17/2023,,,5,"53.338681 N, 107.274872 E",Baikal Lake,soil,rhizosphere,Oxytropis triphylla,roots,,0.20,479.00,16.60,,,,,,460,,,,,14357,,,,,
14951,,14951_S248_L001_R1_001.fastq.gz,14951_S248_L001_R2_001.fastq.gz,,,Baikal Rhizosphere 5.4 1g Power Soil Pro kit + Evrogen,Terrestrial,28 (Baikal Terrestrial 2023),6/17/2023,,,5,"53.338701 N, 107.274868 E",Baikal Lake,soil,rhizosphere,Oxytropis triphylla,roots,,0.20,479.00,16.60,,,,,,8.84,,,,,14685,,,,,
14952,,14952_S249_L001_R1_001.fastq.gz,14952_S249_L001_R2_001.fastq.gz,,,Baikal Rhizosphere 5.5 1g Power Soil Pro kit + Evrogen,Terrestrial,28 (Baikal Terrestrial 2023),6/17/2023,,,5,"53.338653 N, 107.274974 E",Baikal Lake,soil,rhizosphere,Oxytropis triphylla,roots,,0.20,479.00,16.60,,,,,,13.7,,,,,14686,,,,,
14953,,14953_S250_L001_R1_001.fastq.gz,14953_S250_L001_R2_001.fastq.gz,,,Baikal Rhizosphere 5.6 1g Power Soil Pro kit + Evrogen,Terrestrial,28 (Baikal Terrestrial 2023),6/17/2023,,,5,"53.338705 N, 107.275 E",Baikal Lake,soil,rhizosphere,Oxytropis triphylla,roots,,0.20,478.00,16.60,,,,,,69.4,,,,,14687,,,,,
14954,,14954_S251_L001_R1_001.fastq.gz,14954_S251_L001_R2_001.fastq.gz,,,Baikal Rhizosphere 5.9 1g Power Soil Pro kit + Evrogen,Terrestrial,28 (Baikal Terrestrial 2023),6/17/2023,,,5,"53.338659 N, 107.27482 E",Baikal Lake,soil,rhizosphere,Oxytropis triphylla,roots,,0.20,480.00,16.60,,,,,,24,,,,,14690,,,,,
14955,,14955_S252_L001_R1_001.fastq.gz,14955_S252_L001_R2_001.fastq.gz,,,Baikal Rhizosphere 5.10 1g Power Soil Pro kit + Evrogen,Terrestrial,28 (Baikal Terrestrial 2023),6/17/2023,,,5,"53.338581 N, 107.274913 E",Baikal Lake,soil,rhizosphere,Oxytropis triphylla,roots,,0.20,481.00,16.60,,,,,,7.78,,,,,14691,,,,,
14692,,14692_S196_L001_R1_001.fastq.gz,14692_S196_L001_R2_001.fastq.gz,,,Baikal 6.1 1g Power Soil Pro kit,Terrestrial,28 (Baikal Terrestrial 2023),6/18/2023,,,6,"52.881153 N, 106.586915 E",Tazherany,soil,soil,,,,0.20,606.00,17.80,,,,,,392,,,,,14360,,,,,
14693,,14693_S197_L001_R1_001.fastq.gz,14693_S197_L001_R2_001.fastq.gz,,,Baikal 6.2 1g Power Soil Pro kit,Terrestrial,28 (Baikal Terrestrial 2023),6/18/2023,,,6,"52.881132 N, 106.586903 E",Tazherany,soil,soil,,,,0.20,606.00,17.80,,,,,,434,,,,,14361,,,,,
14698,,14698_S198_L001_R1_001.fastq.gz,14698_S198_L001_R2_001.fastq.gz,,,Baikal 6.7 1g Power Soil Pro kit,Terrestrial,28 (Baikal Terrestrial 2023),6/18/2023,,,6,"52.880916 N, 106.586625 E",Tazherany,soil,soil,,,,0.20,604.00,17.80,,,,,,576,,,,,14366,,,,,
14699,,14699_S199_L001_R1_001.fastq.gz,14699_S199_L001_R2_001.fastq.gz,,,Baikal 6.8 1g Power Soil Pro kit,Terrestrial,28 (Baikal Terrestrial 2023),6/18/2023,,,6,"52.880923 N, 106.586845 E",Tazherany,soil,soil,,,,0.20,605.00,17.80,,,,,,133,,,,,14367,,,,,
14956,,14956_S253_L001_R1_001.fastq.gz,14956_S253_L001_R2_001.fastq.gz,,,Baikal 6.3 1g Power Soil Pro kit + Evrogen,Terrestrial,28 (Baikal Terrestrial 2023),6/18/2023,,,6,"52.881081 N, 106.586761 E",Tazherany,soil,soil,,,,0.20,604.00,17.80,,,,,,70,,,,,14694,,,,,
14957,,14957_S254_L001_R1_001.fastq.gz,14957_S254_L001_R2_001.fastq.gz,,,Baikal 6.4 1g Power Soil Pro kit + Evrogen,Terrestrial,28 (Baikal Terrestrial 2023),6/18/2023,,,6,"52.881104 N, 106.586702 E",Tazherany,soil,soil,,,,0.20,603.00,17.80,,,,,,80.2,,,,,14695,,,,,
14958,,14958_S255_L001_R1_001.fastq.gz,14958_S255_L001_R2_001.fastq.gz,,,Baikal 6.5 1g Power Soil Pro kit + Evrogen,Terrestrial,28 (Baikal Terrestrial 2023),6/18/2023,,,6,"52.881024 N, 106.586743 E",Tazherany,soil,soil,,,,0.20,603.00,17.80,,,,,,139,,,,,14696,,,,,
14959,,14959_S256_L001_R1_001.fastq.gz,14959_S256_L001_R2_001.fastq.gz,,,Baikal 6.6 1g Power Soil Pro kit + Evrogen,Terrestrial,28 (Baikal Terrestrial 2023),6/18/2023,,,6,"52.880972 N, 106.586744 E",Tazherany,soil,soil,,,,0.20,605.00,17.80,,,,,,68.4,,,,,14697,,,,,
14960,,14960_S257_L001_R1_001.fastq.gz,14960_S257_L001_R2_001.fastq.gz,,,Baikal 6.9 1g Power Soil Pro kit + Evrogen,Terrestrial,28 (Baikal Terrestrial 2023),6/18/2023,,,6,"52.880948 N, 106.586882 E",Tazherany,soil,soil,,,,0.20,606.00,17.80,,,,,,50.4,,,,,14700,,,,,
14961,,14961_S258_L001_R1_001.fastq.gz,14961_S258_L001_R2_001.fastq.gz,,,Baikal 6.10 1g Power Soil Pro kit + Evrogen,Terrestrial,28 (Baikal Terrestrial 2023),6/18/2023,,,6,"52.881005 N, 106.586974 E",Tazherany,soil,soil,,,,0.20,606.00,17.80,,,,,,14.9,,,,,14701,,,,,
14702,,14702_S200_L001_R1_001.fastq.gz,14702_S200_L001_R2_001.fastq.gz,,,Baikal Rhizosphere 6.1.1 1g Power Soil Pro kit,Terrestrial,28 (Baikal Terrestrial 2023),6/18/2023,,,6,"52.881008 N, 106.586849 E",Tazherany,soil,rhizosphere,Oxytropis triphylla,roots,,0.20,605.00,17.80,,,,,,662,,,,,14370,,,,,
14703,,14703_S201_L001_R1_001.fastq.gz,14703_S201_L001_R2_001.fastq.gz,,,Baikal Rhizosphere 6.1.2 1g Power Soil Pro kit,Terrestrial,28 (Baikal Terrestrial 2023),6/18/2023,,,6,"52.880989 N, 106.586878 E",Tazherany,soil,rhizosphere,Oxytropis triphylla,roots,,0.20,605.00,17.80,,,,,,550,,,,,14371,,,,,
14709,,14709_S202_L001_R1_001.fastq.gz,14709_S202_L001_R2_001.fastq.gz,,,Baikal Rhizosphere 6.1.8 1g Power Soil Pro kit,Terrestrial,28 (Baikal Terrestrial 2023),6/18/2023,,,6,"52.881205 N, 106.586703 E",Tazherany,soil,rhizosphere,Oxytropis triphylla,roots,,0.20,604.00,17.80,,,,,,716,,,,,14377,,,,,
14962,,14962_S259_L001_R1_001.fastq.gz,14962_S259_L001_R2_001.fastq.gz,,,Baikal Rhizosphere 6.1.3 1g Power Soil Pro kit + Evrogen,Terrestrial,28 (Baikal Terrestrial 2023),6/18/2023,,,6,"52.880997 N, 106.586888 E",Tazherany,soil,rhizosphere,Oxytropis triphylla,roots,,0.20,605.00,17.80,,,,,,44.8,,,,,14704,,,,,
14963,,14963_S260_L001_R1_001.fastq.gz,14963_S260_L001_R2_001.fastq.gz,,,Baikal Rhizosphere 6.1.4 1g Power Soil Pro kit + Evrogen,Terrestrial,28 (Baikal Terrestrial 2023),6/18/2023,,,6,"52.881021 N, 106.586856 E",Tazherany,soil,rhizosphere,Oxytropis triphylla,roots,,0.20,604.00,17.80,,,,,,33.4,,,,,14705,,,,,
14964,,14964_S261_L001_R1_001.fastq.gz,14964_S261_L001_R2_001.fastq.gz,,,Baikal Rhizosphere 6.1.5 1g Power Soil Pro kit + Evrogen,Terrestrial,28 (Baikal Terrestrial 2023),6/18/2023,,,6,"52.880995 N, 106.586913 E",Tazherany,soil,rhizosphere,Oxytropis triphylla,roots,,0.20,606.00,17.80,,,,,,12.5,,,,,14706,,,,,
14965,,14965_S262_L001_R1_001.fastq.gz,14965_S262_L001_R2_001.fastq.gz,,,Baikal Rhizosphere 6.1.6 1g Power Soil Pro kit + Evrogen,Terrestrial,28 (Baikal Terrestrial 2023),6/18/2023,,,6,"52.881151 N, 106.586833 E",Tazherany,soil,rhizosphere,Oxytropis triphylla,roots,,0.20,606.00,17.80,,,,,,71.2,,,,,14707,,,,,
14966,,14966_S263_L001_R1_001.fastq.gz,14966_S263_L001_R2_001.fastq.gz,,,Baikal Rhizosphere 6.1.7 1g Power Soil Pro kit + Evrogen,Terrestrial,28 (Baikal Terrestrial 2023),6/18/2023,,,6,"52.881223 N, 106.586898 E",Tazherany,soil,rhizosphere,Oxytropis triphylla,roots,,0.20,605.00,17.80,,,,,,144,,,,,14708,,,,,
14967,,14967_S264_L001_R1_001.fastq.gz,14967_S264_L001_R2_001.fastq.gz,,,Baikal Rhizosphere 6.1.9 1g Power Soil Pro kit + Evrogen,Terrestrial,28 (Baikal Terrestrial 2023),6/18/2023,,,6,"52.881255 N, 106.586704 E",Tazherany,soil,rhizosphere,Oxytropis triphylla,roots,,0.20,602.00,17.80,,,,,,86.6,,,,,14710,,,,,
14968,,14968_S265_L001_R1_001.fastq.gz,14968_S265_L001_R2_001.fastq.gz,,,Baikal Rhizosphere 6.1.10 1g Power Soil Pro kit + Evrogen,Terrestrial,28 (Baikal Terrestrial 2023),6/18/2023,,,6,"52.881317 N, 106.586823 E",Tazherany,soil,rhizosphere,Oxytropis triphylla,roots,,0.20,603.00,17.80,,,,,,53.4,,,,,14711,,,,,
14712,,14712_S203_L001_R1_001.fastq.gz,14712_S203_L001_R2_001.fastq.gz,,,Baikal Rhizosphere 6.2.1 1g Power Soil Pro kit,Terrestrial,28 (Baikal Terrestrial 2023),6/18/2023,,,6,"52.880965 N, 106.586895 E",Tazherany,soil,rhizosphere,Oxytropis microphylla,roots,,0.20,607.00,22.60,,,,,,476,,,,,14380,,,,,
14713,,14713_S204_L001_R1_001.fastq.gz,14713_S204_L001_R2_001.fastq.gz,,,Baikal Rhizosphere 6.2.2 1g Power Soil Pro kit,Terrestrial,28 (Baikal Terrestrial 2023),6/18/2023,,,6,"52.880972 N, 106.586714 E",Tazherany,soil,rhizosphere,Oxytropis microphylla,roots,,0.20,605.00,22.60,,,,,,546,,,,,14381,,,,,
14717,,14717_S205_L001_R1_001.fastq.gz,14717_S205_L001_R2_001.fastq.gz,,,Baikal Rhizosphere 6.2.6 1g Power Soil Pro kit,Terrestrial,28 (Baikal Terrestrial 2023),6/18/2023,,,6,"52.881417 N, 106.58707 E",Tazherany,soil,rhizosphere,Oxytropis microphylla,roots,,0.20,602.00,22.60,,,,,,664,,,,,14385,,,,,
14718,,14718_S206_L001_R1_001.fastq.gz,14718_S206_L001_R2_001.fastq.gz,,,Baikal Rhizosphere 6.2.7 1g Power Soil Pro kit,Terrestrial,28 (Baikal Terrestrial 2023),6/18/2023,,,6,"52.881386 N, 106.586946 E",Tazherany,soil,rhizosphere,Oxytropis microphylla,roots,,0.20,600.00,22.60,,,,,,340,,,,,14386,,,,,
14719,,14719_S207_L001_R1_001.fastq.gz,14719_S207_L001_R2_001.fastq.gz,,,Baikal Rhizosphere 6.2.8 1g Power Soil Pro kit,Terrestrial,28 (Baikal Terrestrial 2023),6/18/2023,,,6,"52.881119 N, 106.586918 E",Tazherany,soil,rhizosphere,Oxytropis microphylla,roots,,0.20,605.00,22.60,,,,,,470,,,,,14387,,,,,
14720,,14720_S208_L001_R1_001.fastq.gz,14720_S208_L001_R2_001.fastq.gz,,,Baikal Rhizosphere 6.2.9 1g Power Soil Pro kit,Terrestrial,28 (Baikal Terrestrial 2023),6/18/2023,,,6,"52.881124 N, 106.586895 E",Tazherany,soil,rhizosphere,Oxytropis microphylla,roots,,0.20,604.00,22.60,,,,,,398,,,,,14388,,,,,
14721,,14721_S209_L001_R1_001.fastq.gz,14721_S209_L001_R2_001.fastq.gz,,,Baikal Rhizosphere 6.2.10 1g Power Soil Pro kit,Terrestrial,28 (Baikal Terrestrial 2023),6/18/2023,,,6,"52.881283 N, 106.586699 E",Tazherany,soil,rhizosphere,Oxytropis microphylla,roots,,0.20,602.00,22.60,,,,,,630,,,,,14389,,,,,
14969,,14969_S266_L001_R1_001.fastq.gz,14969_S266_L001_R2_001.fastq.gz,,,Baikal Rhizosphere 6.2.3 1g Power Soil Pro kit + Evrogen,Terrestrial,28 (Baikal Terrestrial 2023),6/18/2023,,,6,"52.880963 N, 106.58663 E",Tazherany,soil,rhizosphere,Oxytropis microphylla,roots,,0.20,604.00,22.60,,,,,,31.2,,,,,14714,,,,,
14970,,14970_S267_L001_R1_001.fastq.gz,14970_S267_L001_R2_001.fastq.gz,,,Baikal Rhizosphere 6.2.4 1g Power Soil Pro kit + Evrogen,Terrestrial,28 (Baikal Terrestrial 2023),6/18/2023,,,6,"52.880963 N, 106.586502 E",Tazherany,soil,rhizosphere,Oxytropis microphylla,roots,,0.20,602.00,22.60,,,,,,7,,,,,14715,,,,,
14971,,14971_S268_L001_R1_001.fastq.gz,14971_S268_L001_R2_001.fastq.gz,,,Baikal Rhizosphere 6.2.5 1g Power Soil Pro kit + Evrogen,Terrestrial,28 (Baikal Terrestrial 2023),6/18/2023,,,6,"52.881383 N, 106.58699 E",Tazherany,soil,rhizosphere,Oxytropis microphylla,roots,,0.20,601.00,22.60,,,,,,39.6,,,,,14716,,,,,
14722,,14722_S210_L001_R1_001.fastq.gz,14722_S210_L001_R2_001.fastq.gz,,,Control,Terrestrial,28 (Baikal Terrestrial 2023),6/20/2023,,,7,"52.2394021663715 N, 104.27121932968963 E",Siberian Institute of Plant Physiology and Biochemistry,laboratory control,laboratory water,,,,0,450,,,,,,,0.01,,,,,,,,,,
14731,,14731_S211_L001_R1_001.fastq.gz,14731_S211_L001_R2_001.fastq.gz,,,Astragalus olchonensis leaf Power Soil Pro kit,Terrestrial,28 (Baikal Terrestrial 2023),6/16/2023,,,1,"53.28365 N, 107.576797 E",Olkhon Island,plant,leaf,Astragalus olchonensis,leaf,,0.00,465.00,14.20,,,,,,418,,,,,14723,,,,,
14732,,14732_S212_L001_R1_001.fastq.gz,14732_S212_L001_R2_001.fastq.gz,,,Vicia olchonensis leaf Power Soil Pro kit,Terrestrial,28 (Baikal Terrestrial 2023),6/16/2023,,,2,"53.045185 N, 107.068597 E",Olkhon Island,plant,leaf,Vicia olchonensis,leaf,,0.00,502.00,22.30,,,,,,502,,,,,14724,,,,,
14733,,14733_S213_L001_R1_001.fastq.gz,14733_S213_L001_R2_001.fastq.gz,,,Hedysarum zundukii leaf Power Soil Pro kit,Terrestrial,28 (Baikal Terrestrial 2023),6/17/2023,,,3,"53.386333 N, 107.391398 E",Baikal Lake,plant,leaf,Hedysarum zundukii,leaf,,0.20,460.00,15.60,,,,,,2,,,,,14725,,,,,
14734,,14734_S214_L001_R1_001.fastq.gz,14734_S214_L001_R2_001.fastq.gz,,,Astragalus chorinensis leaf Power Soil Pro kit,Terrestrial,28 (Baikal Terrestrial 2023),6/17/2023,,,4,"53.396016 N, 107.411607 E",Baikal Lake,plant,leaf,Astragalus chorinensis,leaf,,0.20,494.00,15.00,,,,,,,,,,,14726,,,,,
14735,,14735_S215_L001_R1_001.fastq.gz,14735_S215_L001_R2_001.fastq.gz,,,Oxytropis triphylla leaf Power Soil Pro kit,Terrestrial,28 (Baikal Terrestrial 2023),6/17/2023,,,4,"53.396056 N, 107.411644 E",Baikal Lake,plant,leaf,Oxytropis triphylla,leaf,,0.20,494.00,15.00,,,,,,,,,,,14727,,,,,
14736,,14736_S216_L001_R1_001.fastq.gz,14736_S216_L001_R2_001.fastq.gz,,,Oxytropis muricata leaf Power Soil Pro kit,Terrestrial,28 (Baikal Terrestrial 2023),6/21/2023,,,5,"53.338639 N, 107.274778 E",Baikal Lake,plant,leaf,Oxytropis muricata,leaf,,0.00,480.00,16.60,,,,,,,,,,,14728,,,,,
14737,,14737_S217_L001_R1_001.fastq.gz,14737_S217_L001_R2_001.fastq.gz,,,Oxytropis triphylla leaf Power Soil Pro kit,Terrestrial,28 (Baikal Terrestrial 2023),6/17/2023,,,5,"53.338639 N, 107.274778 E",Baikal Lake,plant,leaf,Oxytropis triphylla,leaf,,0.20,478.00,16.60,,,,,,,,,,,14729,,,,,
14738,,14738_S218_L001_R1_001.fastq.gz,14738_S218_L001_R2_001.fastq.gz,,,Oxytropis microphylla leaf Power Soil Pro kit,Terrestrial,28 (Baikal Terrestrial 2023),6/18/2023,,,6,"52.880972 N, 106.586714 E",Tazherany,plant,leaf,Oxytropis microphylla,leaf,,0.20,605.00,22.60,,,,,,,,,,,14730,,,,,
