	S1_bulk1	S1_bulk2	S1_bulk3	S1_bulk4	S1_bulk5	S1_bulk6	S1_bulk7	S1_bulk8	S1_bulk9	S1_bulk10	S2_bulk1	S2_bulk2	S2_bulk3	S2_bulk4	S2_bulk5	S2_bulk6	S2_bulk7	S2_bulk8	S2_bulk9	S2_bulk10	S1_rAo1	S1_rAo2	S1_rAo3	S1_rAo4	S1_rAo5	S1_rAo6	S1_rAo7	S1_rAo8	S1_rAo9	S1_rAo10	S2_rVo1	S2_rVo2	S2_rVo3	S2_rVo4	S2_rVo5	S2_rVo6	S2_rVo7	S2_rVo8	S2_rVo9	S2_rVo10
OTU_2	847	2559	2157	3074	1659	734	3296	2374	896	1778	449	1096	754	947	609	1032	1310	1331	1093	1248	411	2687	2703	3111	3148	3263	1885	2758	2872	5477	717	960	3356	1392	2129	433	776	743	2716	280
OTU_3	55	134	8333	17	237	15	21	0	0	859	82	272	270	237	192	172	116	212	753	734	56	47	29	80	82	45	55	68	48	55	135	227	797	5477	267	47	145	306	346	258
OTU_4	27	15	68	35	51	0	0	0	7	24	83	51	419	328	341	235	133	392	811	799	0	0	0	0	0	0	41	0	0	0	166	0	334	0	113	46	43	76	20	110
OTU_5	0	25	10	0	65	21	0	0	0	0	275	113	32	72	84	9	121	33	4	40	0	0	0	0	0	0	0	17	0	0	1352	451	55	21	128	83	161	646	253	112
OTU_7	0	0	0	0	0	0	0	0	0	0	1000	295	283	379	249	279	382	267	227	252	0	0	0	0	0	0	0	4	5	0	1466	605	88	21	125	413	351	467	244	668
OTU_8	1194	15	164	0	0	97	0	8	544	4	81	98	822	482	248	222	9	135	1532	640	376	321	0	0	0	0	0	0	0	0	133	10	0	0	7	10	0	28	15	5
OTU_9	0	40	83	0	85	6	0	0	0	0	553	222	460	263	179	334	284	173	411	350	0	0	0	0	0	0	74	36	0	0	949	164	125	13	87	163	89	403	147	286
OTU_11	0	0	0	0	0	0	0	0	0	0	19	22	75	69	59	43	33	33	226	68	0	0	0	0	0	0	0	0	0	0	67	9	10	0	0	7	0	20	32	27
OTU_12	598	752	554	185	692	610	44	1424	1452	549	396	434	693	668	411	475	423	296	1414	551	377	775	158	416	176	27	969	443	720	0	625	182	668	106	659	175	245	269	279	254
OTU_13	4	7	36	0	109	0	0	0	0	0	121	56	57	76	352	212	255	188	61	120	0	3	0	0	0	0	57	8	0	0	327	1104	25	0	34	152	572	724	347	1750
OTU_14	209	160	335	970	293	1241	934	183	755	643	267	325	724	563	476	381	688	678	605	668	273	885	257	571	1000	3714	1229	743	693	797	615	811	816	1574	966	215	719	422	493	310
OTU_15	23	289	645	44	138	44	743	171	24	291	146	225	200	152	271	265	566	274	89	269	260	641	209	219	277	214	275	304	351	225	560	454	416	147	121	548	396	648	398	768
OTU_16	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	21	24	0	0	0	0	0	0	0	0	0	0	0	0	0	92	82	0	0	0	0	0	136	47	102
OTU_17	14	27	65	70	74	57	8	33	11	79	56	59	87	95	227	103	143	105	98	260	18	119	34	0	12	0	53	21	63	0	107	297	125	66	181	69	77	168	154	218
OTU_18	0	14	0	16	87	27	74	29	6	25	865	490	406	543	261	246	762	590	466	153	18	154	6	0	12	0	245	38	70	0	1947	538	310	51	254	878	1067	684	313	992
OTU_19	163	473	351	229	438	150	268	644	394	303	329	274	442	408	164	344	473	297	473	198	28	281	353	353	76	111	349	793	294	167	409	114	933	212	548	230	121	159	345	128
OTU_20	0	4	12	0	9	0	0	0	0	0	51	43	35	35	84	38	46	30	43	85	0	0	0	0	0	0	0	0	0	0	151	282	14	0	8	46	46	385	130	213
OTU_21	31	151	248	458	184	78	289	138	0	120	394	784	221	202	345	687	747	1052	242	314	95	297	59	85	152	253	319	108	169	81	632	538	697	1048	604	407	976	520	953	843
OTU_22	14	169	436	22	526	153	0	12	18	12	141	57	514	423	99	111	148	152	1282	169	30	91	0	0	0	0	130	17	9	0	262	16	69	0	80	26	0	14	124	23
OTU_23	0	0	0	0	0	707	1498	822	1168	406	0	207	287	0	0	1341	184	515	306	292	740	0	378	0	0	818	1314	700	620	614	203	351	213	193	3	0	242	723	303	210
OTU_24	0	168	235	3809	148	1515	216	354	29	216	71	155	158	241	162	293	239	1379	152	323	23	474	125	66	3072	4801	2670	450	358	652	204	745	1763	1380	2744	39	393	190	460	159
OTU_25	0	0	0	0	0	0	0	0	0	0	14	5	27	10	10	0	0	0	36	20	0	0	0	0	0	0	0	0	0	0	12	0	10	0	0	0	0	0	0	0
OTU_26	0	0	57	0	22	0	0	0	0	0	37	63	22	43	64	80	217	55	40	60	0	0	0	0	0	0	0	0	0	0	247	171	43	0	0	164	155	204	224	283
OTU_27	245	368	362	122	342	236	664	299	280	190	96	164	150	297	159	190	203	247	327	297	101	321	358	388	464	238	175	368	549	698	125	60	657	149	368	99	82	137	166	99
OTU_28	111	31	78	51	50	23	0	16	32	49	29	77	62	68	110	69	115	74	70	322	57	141	22	26	0	0	29	18	88	8	79	139	119	58	106	68	109	224	189	139
OTU_29	0	102	41	174	26	0	8	607	0	38	0	10	79	40	104	51	36	98	242	238	10	172	0	8	54	496	53	0	17	6	27	166	209	236	211	0	50	69	87	0
OTU_30	0	49	283	16	115	0	11	0	31	36	123	63	67	134	236	291	335	473	179	1113	15	142	0	0	0	0	0	14	61	0	296	312	197	7	98	134	212	581	693	257
OTU_31	831	427	244	52	458	150	428	433	505	351	61	74	244	212	322	186	209	108	408	576	2482	456	438	714	158	158	496	0	1255	20	144	638	171	145	94	136	169	475	370	427
OTU_32	71	600	316	7	226	45	0	162	89	63	131	70	142	142	23	117	200	102	262	462	49	73	41	9	0	0	676	17	213	0	169	21	89	0	21	51	5	136	289	44
OTU_33	658	77	194	0	116	89	31	124	42	117	56	84	162	45	84	130	85	86	243	142	253	200	158	244	108	70	212	78	147	0	67	101	141	0	68	0	81	120	55	112
OTU_34	0	0	0	0	0	0	1	0	0	0	97	56	96	119	130	43	182	171	90	27	0	38	8	0	3	9	65	4	58	0	206	411	104	100	32	467	283	466	160	895
OTU_35	162	165	1707	127	139	23	0	24	0	317	76	131	102	113	282	150	116	263	478	564	157	476	17	45	38	7	42	49	411	30	147	232	230	119	237	86	133	248	327	202
OTU_36	0	37	73	0	60	0	0	11	0	19	92	111	117	126	65	93	91	55	136	82	0	6	0	0	0	0	23	0	0	0	151	111	36	0	9	78	71	250	138	108
OTU_37	23	54	66	23	135	8	0	24	19	50	24	78	131	54	17	70	66	51	142	39	0	40	0	0	0	0	171	36	44	0	83	61	37	24	65	23	8	52	120	44
OTU_38	0	27	65	27	29	0	0	0	0	9	73	50	316	150	88	117	49	42	163	156	0	22	0	0	0	0	0	0	0	0	96	49	50	10	24	50	13	47	112	32
OTU_39	0	116	294	86	109	11	0	17	0	0	117	151	70	115	97	132	256	113	104	207	0	177	13	0	0	0	105	53	144	0	162	178	143	59	617	56	141	589	148	164
OTU_40	0	0	0	0	0	0	0	0	0	0	122	70	148	85	93	78	92	103	82	142	0	0	0	0	0	0	0	0	0	0	220	0	0	0	42	0	0	54	36	54
OTU_41	0	0	0	0	0	0	0	0	0	0	83	21	160	87	33	45	0	56	142	77	0	0	0	0	0	0	0	0	0	0	68	0	18	0	0	0	0	5	0	0
OTU_42	0	110	175	0	15	17	0	0	0	13	15	10	319	79	93	18	42	0	342	209	24	21	0	0	0	0	71	0	0	0	9	0	84	33	21	0	21	59	14	0
OTU_43	48	22	80	13	0	50	29	64	10	52	3	18	0	0	82	136	49	65	14	142	30	63	48	0	546	290	26	0	83	154	22	216	174	128	101	0	44	167	66	13
OTU_44	209	110	72	51	53	9	243	149	38	85	53	87	64	87	230	131	134	140	92	254	40	79	81	99	64	146	396	154	16	109	70	237	256	22	323	54	104	341	188	172
OTU_45	0	0	64	0	28	44	21	14	0	95	51	21	2	0	50	13	44	9	17	62	0	52	19	23	35	17	9	0	13	0	87	34	27	0	16	11	75	12	34	44
OTU_46	361	124	183	15	138	239	116	341	445	333	125	139	367	225	174	303	231	224	501	392	230	250	78	44	75	26	174	191	361	0	199	85	117	0	151	56	78	89	103	124
OTU_47	0	0	0	0	0	0	0	0	0	0	0	0	17	12	7	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	8	0	0
OTU_48	0	0	87	304	0	132	0	0	0	0	0	297	0	68	260	599	772	1526	3	808	0	32	0	0	19	30	144	0	181	0	83	264	535	2358	1143	83	635	45	297	0
OTU_49	110	142	176	0	60	27	70	73	49	50	62	46	64	90	64	72	62	51	111	197	29	13	46	183	0	5	46	0	8	6	76	35	73	0	13	48	50	78	76	81
OTU_50	0	0	0	0	0	0	0	0	0	0	59	26	75	44	28	21	20	0	61	70	0	0	0	0	0	0	0	0	0	0	83	21	11	0	0	7	0	51	11	20
OTU_51	0	0	0	0	0	9	23	9	0	6	85	50	36	23	83	24	30	65	34	28	61	7	23	0	56	0	28	0	21	0	207	219	11	0	0	107	99	364	84	642
OTU_52	0	0	0	0	0	0	0	0	0	0	47	33	33	0	13	0	0	0	0	71	0	0	0	0	0	9	0	0	0	0	50	35	12	0	0	0	0	39	0	13
OTU_54	0	0	0	0	0	0	5	0	0	0	13	0	54	25	58	72	0	13	133	43	0	0	0	0	25	32	0	0	0	0	0	45	5	0	0	0	0	78	0	26
OTU_55	0	0	0	0	8	0	0	0	0	0	105	65	26	119	77	69	123	147	74	66	21	63	0	0	3	0	58	0	26	0	159	513	53	92	28	200	272	539	211	970
OTU_56	221	317	307	0	370	46	8	112	195	218	213	147	196	253	148	228	257	0	428	182	86	223	41	84	0	12	225	126	246	0	284	94	149	25	55	138	16	202	408	92
OTU_57	0	0	0	0	0	0	0	0	0	0	0	9	9	11	42	4	4	1	12	92	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0
OTU_58	0	11	15	10	99	0	15	10	0	14	338	152	35	194	157	116	287	155	143	61	8	61	0	0	0	0	112	24	20	0	552	514	85	32	52	242	484	393	178	857
OTU_59	0	26	42	0	14	0	0	0	0	0	19	85	42	14	109	95	38	67	15	194	0	0	0	0	0	0	0	0	6	0	49	61	16	0	42	15	42	135	44	56
OTU_60	0	589	840	48	397	21	0	900	0	178	182	209	301	738	178	436	952	128	483	242	0	351	127	24	0	0	250	668	944	0	306	0	399	17	671	155	106	132	173	181
OTU_61	0	32	36	31	53	0	0	0	0	40	121	183	147	159	166	128	233	364	149	346	0	46	0	0	0	0	0	0	42	0	275	46	342	100	196	103	135	195	97	158
OTU_62	0	21	134	48	85	30	0	0	0	0	42	52	37	80	173	78	138	90	75	298	0	142	0	0	0	0	42	0	40	0	55	41	145	0	93	52	52	44	106	90
OTU_63	0	81	20	0	0	0	0	0	0	0	78	96	130	134	123	174	137	42	109	146	0	0	0	0	0	0	0	0	0	0	85	17	164	0	48	19	9	300	14	42
OTU_64	0	61	869	0	13	41	14	0	0	363	0	32	54	0	16	19	57	28	32	67	0	26	12	0	122	18	19	28	27	17	9	69	106	397	75	0	30	72	125	40
OTU_65	0	0	0	0	0	0	0	0	0	0	0	0	26	17	17	14	0	6	58	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0
OTU_66	59	25	36	4	37	10	0	0	24	0	18	48	121	100	32	74	66	20	114	73	46	6	0	0	0	0	13	0	10	0	51	0	31	0	18	12	13	28	34	28
OTU_67	0	130	194	274	62	69	30	41	0	15	86	197	98	38	145	226	155	250	64	289	64	150	61	33	854	316	303	172	231	16	128	198	545	643	420	51	121	95	255	85
OTU_68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	8	41	12	26
OTU_69	84	107	151	64	372	378	180	76	448	159	146	324	341	211	103	109	393	115	354	89	152	378	73	45	90	109	332	121	230	0	439	121	206	49	217	168	207	162	150	129
OTU_70	0	0	0	0	0	0	0	0	0	0	0	0	24	13	48	0	0	0	113	130	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	23	0	0
OTU_71	0	18	41	0	36	16	31	36	20	142	30	19	58	36	38	88	28	47	62	107	0	30	28	30	0	0	67	0	37	0	8	87	36	0	9	0	113	149	26	67
OTU_72	0	16	0	0	44	0	0	60	0	0	130	31	131	138	63	80	187	101	83	91	0	0	10	0	0	0	0	6	0	0	154	34	38	0	16	48	41	103	64	86
OTU_73	0	0	0	0	0	0	0	0	0	0	0	5	20	17	57	14	5	0	68	93	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	155	45	10
OTU_74	0	0	0	0	0	0	0	0	0	0	48	0	0	0	13	22	47	0	0	13	0	0	0	0	0	0	0	0	0	0	177	126	0	0	0	35	80	157	50	160
OTU_75	0	0	0	0	35	0	0	0	0	12	137	128	42	147	94	187	239	103	101	66	0	30	0	0	0	0	0	14	34	0	357	314	110	82	44	287	208	334	199	727
OTU_76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	15
OTU_77	0	14	27	29	40	33	130	16	22	9	86	52	36	81	110	64	134	81	34	63	13	161	8	25	37	28	89	123	61	7	87	229	225	83	129	86	212	264	111	217
OTU_78	12	0	0	12	68	98	0	0	16	26	0	64	26	17	58	43	55	61	28	44	16	0	0	0	0	0	42	0	0	0	166	0	41	0	0	34	47	78	77	88
OTU_79	0	43	68	0	159	25	30	26	0	32	95	70	84	113	66	47	47	48	117	65	83	45	18	20	107	0	64	0	24	0	216	32	9	7	0	69	73	86	36	177
OTU_80	164	127	68	81	104	553	245	256	0	138	103	122	98	142	84	86	263	295	217	128	29	202	143	236	366	1219	491	139	162	40	168	63	780	354	197	112	55	41	67	41
OTU_81	0	15	45	0	10	0	99	0	24	39	42	79	23	53	46	57	90	19	26	79	50	121	43	22	68	21	11	8	70	71	54	44	15	23	33	73	13	124	61	89
OTU_82	543	477	324	0	189	352	0	453	958	500	67	67	128	179	151	150	165	59	273	257	44	156	30	16	18	0	223	52	146	0	231	16	150	0	148	47	0	37	169	18
OTU_83	0	64	54	26	31	0	0	16	0	21	15	70	21	54	68	44	94	13	53	100	0	23	0	1	0	0	11	0	16	0	46	49	42	7	62	23	37	190	117	47
OTU_84	0	0	0	0	0	0	0	0	0	0	75	0	0	0	34	0	3	0	0	32	0	0	0	0	0	0	0	0	0	0	125	0	0	0	0	10	0	0	21	0
OTU_85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0
OTU_86	4	13	0	6	15	2	6	0	37	0	76	73	63	73	27	118	81	94	94	82	0	41	12	5	2	2	17	0	5	8	130	14	311	18	64	19	0	25	0	18
OTU_87	0	0	0	0	0	0	0	0	0	0	34	0	10	0	3	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	10	0	0
OTU_88	0	0	46	0	10	0	0	0	0	0	141	57	90	86	138	114	82	76	75	184	0	0	0	0	0	0	0	0	0	0	211	119	15	8	61	38	48	154	68	119
OTU_89	0	0	0	34	0	30	22	0	0	0	60	41	0	64	112	160	118	342	0	156	0	14	19	8	0	0	38	0	65	0	172	159	119	266	243	99	278	275	212	281
OTU_90	0	19	100	0	175	44	58	16	6	0	47	76	78	70	63	18	208	280	190	94	0	75	21	3	0	23	74	5	58	1	164	120	185	17	315	102	139	195	147	145
OTU_91	8	0	80	59	74	67	85	129	79	168	9	168	60	74	149	174	363	290	83	214	20	180	90	25	85	50	178	123	87	41	126	109	253	291	395	94	364	254	193	172
OTU_92	29	121	194	106	152	166	682	317	49	101	60	229	205	199	107	89	116	145	238	107	34	151	226	246	377	578	560	931	405	293	170	92	314	140	621	94	178	97	105	118
OTU_93	842	112	29	0	24	72	28	116	542	184	19	26	0	0	9	21	22	15	11	23	85	10	18	134	0	44	69	17	36	0	54	33	100	0	9	0	9	30	31	21
OTU_94	44	124	249	17	106	17	456	47	65	73	22	94	85	73	95	168	184	160	22	216	81	373	157	267	687	54	90	277	331	322	82	307	162	340	93	131	175	242	401	79
OTU_95	0	0	0	0	0	0	0	0	0	0	0	0	9	0	21	0	0	43	0	61	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	3	53	0	0	0
OTU_96	0	0	0	0	0	0	0	0	0	0	82	11	102	29	0	0	0	23	36	25	0	0	0	0	0	0	0	0	0	0	200	9	63	0	14	0	6	20	0	0
OTU_97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	7	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_98	0	0	0	0	0	0	0	0	0	0	34	0	0	0	26	40	32	0	20	39	0	0	0	0	0	0	0	0	0	0	94	111	0	0	0	0	29	131	40	149
OTU_99	4	0	27	0	21	13	19	26	185	26	176	80	252	141	85	98	39	39	264	166	13	12	11	27	0	5	25	0	0	0	342	48	31	0	22	13	16	31	25	86
OTU_100	0	0	24	6	0	0	4	0	0	11	68	74	19	34	99	178	126	176	13	150	0	29	13	0	18	0	110	2	98	0	91	261	112	187	68	88	297	288	206	193
OTU_101	0	0	0	0	0	0	0	0	0	0	19	0	28	0	41	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	16
OTU_102	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	19	0
OTU_103	0	0	0	0	0	0	0	0	0	0	0	0	53	0	0	0	0	0	116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_105	26	341	297	12	272	37	242	150	85	146	67	96	46	94	40	63	92	3	71	35	51	234	69	134	28	35	76	71	148	72	100	114	178	80	44	41	64	102	122	119
OTU_106	0	32	0	0	0	0	0	0	19	0	30	31	43	41	35	52	39	35	14	74	0	0	0	0	0	0	0	0	16	0	15	26	20	0	27	0	18	48	23	21
OTU_107	0	72	322	530	95	190	68	15	0	227	25	47	12	56	88	65	147	75	24	227	11	533	26	0	60	281	141	42	309	0	29	874	289	392	643	22	123	336	315	41
OTU_108	0	0	875	17	101	9	10	22	0	414	81	193	35	79	32	51	73	143	30	177	5	557	0	0	144	0	25	99	7	33	114	111	225	1051	240	36	100	95	140	75
OTU_109	166	10	0	0	4	74	0	0	315	0	22	0	39	37	13	19	0	12	40	27	482	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0
OTU_110	0	51	73	0	47	0	0	0	0	0	109	22	95	121	68	108	132	47	158	186	0	0	0	0	0	0	0	0	0	0	92	31	0	0	0	32	0	54	41	66
OTU_111	0	0	0	0	0	0	0	0	0	0	23	0	0	0	25	27	26	23	0	14	0	0	0	0	0	0	0	0	0	0	89	88	0	0	5	0	51	64	44	143
OTU_112	55	95	100	6	70	0	10	235	218	34	24	10	41	45	35	53	56	23	160	64	40	0	0	0	0	0	29	12	0	0	46	0	50	9	25	34	12	22	29	17
OTU_113	189	47	159	167	162	359	210	43	146	190	39	91	123	130	131	90	153	103	173	168	208	486	91	32	231	101	269	131	146	19	158	118	174	325	102	91	144	118	290	119
OTU_114	0	0	0	0	0	0	0	0	0	0	17	24	36	24	49	96	20	13	52	79	0	0	0	0	0	0	0	0	0	0	58	17	18	0	0	3	14	54	49	37
OTU_115	241	73	436	114	194	177	479	252	10	284	99	243	54	63	249	93	301	60	77	0	0	126	221	181	247	192	215	274	384	418	164	3	88	35	74	68	63	0	179	25
OTU_116	0	0	0	0	0	0	0	0	0	0	24	13	0	0	0	0	0	0	114	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_117	474	167	137	0	60	97	88	213	405	52	59	40	208	125	39	53	90	94	199	66	229	0	84	79	70	62	115	0	25	26	137	0	65	9	87	12	23	17	47	37
OTU_118	0	0	0	0	0	0	21	0	0	0	116	104	0	70	52	59	102	61	64	23	17	4	9	6	11	25	7	0	2	0	248	92	29	16	29	166	144	196	108	316
OTU_119	400	110	104	0	96	50	21	45	246	64	80	7	122	140	59	108	109	13	36	191	101	19	36	0	0	0	48	48	4	0	64	75	48	15	66	21	82	136	84	93
OTU_120	166	117	173	194	99	141	44	172	74	59	18	50	82	71	26	86	91	54	122	82	57	562	45	0	36	245	340	43	290	18	31	162	170	163	190	14	47	91	216	33
OTU_121	0	0	0	0	0	0	0	0	0	0	10	0	7	0	29	4	0	0	0	53	0	0	0	0	0	0	0	0	0	0	21	15	0	0	0	0	0	0	18	1
OTU_122	792	349	50	21	135	149	0	85	343	70	0	19	92	29	14	26	24	0	63	40	182	66	0	0	0	0	0	0	11	0	16	0	20	0	7	14	0	13	19	0
OTU_123	570	260	133	34	178	119	48	363	414	160	24	33	126	129	20	140	213	51	343	114	112	155	73	86	0	0	200	103	249	11	103	60	165	11	106	56	64	75	211	70
OTU_124	34	44	124	30	76	43	30	66	33	101	28	36	45	34	43	82	31	52	77	118	12	241	77	37	64	0	49	187	172	32	44	34	73	46	118	14	27	61	38	40
OTU_125	125	55	99	0	57	0	0	27	40	96	59	24	69	67	73	77	54	25	69	90	183	214	0	0	39	0	115	0	169	0	110	198	52	54	25	67	66	235	111	149
OTU_126	0	176	313	68	251	62	90	271	263	315	83	75	79	316	109	92	153	45	171	80	12	427	157	102	36	183	182	289	419	62	161	93	153	76	82	66	104	125	228	134
OTU_128	0	81	88	0	186	49	30	25	0	21	131	184	79	132	38	86	136	72	155	89	0	244	58	22	45	0	132	138	77	0	282	103	59	98	124	66	101	127	100	121
OTU_129	0	0	0	0	0	0	0	0	0	0	0	0	28	0	14	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0
OTU_130	38	5	34	0	38	5	28	11	3	26	30	41	27	30	32	50	54	37	31	106	12	22	46	222	0	0	2	11	22	36	28	4	51	0	59	12	8	14	26	17
OTU_131	122	40	474	0	151	8	13	25	0	188	38	46	61	62	71	53	56	139	25	236	27	118	62	10	0	0	30	29	393	0	11	132	82	24	91	24	76	354	120	80
OTU_132	0	0	0	0	78	0	145	34	4	119	147	155	76	149	75	75	142	124	59	34	64	255	108	6	19	32	132	42	43	0	280	79	87	16	68	60	264	209	46	371
OTU_133	0	5	80	0	0	0	0	0	0	0	23	64	183	94	45	60	68	73	189	92	0	2	0	0	0	0	52	0	0	0	25	36	0	0	40	3	13	29	23	16
OTU_134	0	0	0	0	0	0	0	0	0	0	0	0	17	11	6	10	0	0	62	10	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0
OTU_135	17	201	98	13	62	0	0	44	0	32	27	51	6	41	28	77	249	17	0	27	0	19	11	0	0	0	0	0	12	0	81	43	92	0	26	102	55	135	153	26
OTU_136	148	139	230	79	9	58	1029	237	21	147	15	89	31	112	81	56	152	76	101	28	61	637	241	77	694	311	163	293	223	771	103	59	276	72	79	0	74	23	48	49
OTU_138	0	61	98	0	38	0	0	10	0	54	64	29	13	51	110	124	102	223	53	225	11	44	0	0	0	0	34	0	12	0	71	86	3	0	43	66	81	136	183	74
OTU_139	0	179	63	0	27	0	0	0	0	23	26	147	34	43	73	90	88	37	0	112	0	76	62	0	0	19	0	0	121	39	179	46	141	18	37	15	57	105	93	61
OTU_140	39	50	77	12	77	28	172	125	79	48	54	49	56	86	45	62	65	35	117	61	327	75	110	21	17	33	95	0	111	48	125	44	27	0	23	28	73	42	41	82
OTU_141	0	0	0	0	0	0	0	0	0	0	4	0	0	0	37	4	8	0	0	62	0	0	0	0	0	0	0	0	0	0	33	74	0	0	0	0	28	66	17	24
OTU_142	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	17	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_143	0	0	0	0	25	0	24	0	0	0	5	0	10	5	22	11	23	41	13	28	0	48	56	79	0	105	29	0	13	0	55	84	12	12	0	20	101	72	22	118
OTU_144	165	63	44	31	90	123	173	278	142	281	49	70	121	85	36	59	131	91	182	137	101	149	63	79	85	34	276	41	247	0	140	39	97	0	122	50	93	67	63	114
OTU_145	0	0	155	101	24	14	14	43	0	114	50	71	18	25	81	90	145	121	29	312	0	406	6	0	0	0	26	10	89	0	21	83	41	14	194	17	52	120	79	100
OTU_146	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	12	0	0	19	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_147	0	0	0	0	0	0	0	0	0	0	6	12	4	0	0	16	0	0	4	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0
OTU_148	0	25	78	58	126	49	0	0	0	42	117	82	70	111	76	97	85	55	124	95	9	219	16	0	0	0	64	0	98	0	138	44	62	9	121	50	59	82	39	170
OTU_149	0	0	43	5	9	0	0	0	0	0	9	14	10	0	68	51	57	23	0	121	0	14	0	0	0	0	0	0	0	0	10	96	26	0	0	35	40	175	47	72
OTU_150	132	40	0	0	0	26	12	64	482	69	0	16	135	54	22	45	7	0	116	20	32	58	0	0	0	0	31	0	0	0	14	0	0	0	0	0	0	0	0	0
OTU_151	0	0	16	24	38	0	13	0	0	6	10	9	0	0	81	54	30	0	13	27	34	36	0	0	0	0	19	0	12	0	70	115	0	16	0	64	73	206	30	279
OTU_152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0
OTU_153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0
OTU_154	0	17	44	0	34	0	7	0	0	0	3	47	0	25	125	88	110	92	0	155	0	52	3	0	21	3	17	17	84	0	44	8	105	15	89	19	59	47	47	46
OTU_155	0	0	0	0	0	17	1730	231	0	51	0	20	0	38	0	0	0	0	0	0	0	0	258	572	109	347	146	2819	17	1057	0	0	125	0	0	0	0	0	0	0
OTU_156	28	78	91	0	49	0	0	12	0	157	34	24	11	57	62	74	64	23	26	82	7	59	18	42	0	0	19	5	54	0	62	46	48	0	40	26	27	89	70	28
OTU_157	0	43	45	19	120	19	16	73	44	87	40	74	44	83	47	58	86	18	97	127	24	311	17	40	0	6	74	167	67	0	56	73	63	19	91	16	35	46	66	35
OTU_158	0	0	0	0	0	0	0	0	0	0	91	61	52	77	85	63	129	116	56	63	0	0	0	0	0	0	0	0	0	0	137	199	46	0	31	125	202	183	116	355
OTU_159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	72	0	0	0	17	20	91	17	86
OTU_160	0	0	44	49	44	408	0	0	0	39	0	21	0	146	0	0	74	0	95	0	0	496	0	0	0	2789	471	0	12	117	23	0	208	1431	543	0	40	0	0	0
OTU_161	98	123	111	12	137	59	0	84	67	109	48	55	50	68	0	40	52	19	78	0	42	236	28	19	0	0	103	22	136	0	57	0	99	12	100	25	0	45	33	0
OTU_162	0	0	10	11	0	11	0	0	0	0	0	18	0	0	52	15	59	384	0	56	0	12	0	0	0	0	0	0	8	0	13	35	14	33	686	4	35	35	7	51
OTU_164	0	0	0	0	0	0	0	0	0	0	137	72	5	49	21	72	106	156	46	12	0	0	0	0	0	0	0	0	0	0	164	273	51	27	34	149	173	338	113	676
OTU_165	5	40	44	0	63	0	0	25	6	33	87	67	70	62	37	37	133	78	118	32	0	0	0	0	0	0	0	8	0	0	174	53	42	0	18	32	85	114	42	166
OTU_166	0	0	0	0	0	0	0	0	0	0	0	0	11	0	10	26	0	0	0	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
