	Kingdom	Phylum	Class	Order	Family	Genus	Species
OTU_3326	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Panacibacter	
OTU_3328	Bacteria	Chloroflexota	AD3				
OTU_3330	Bacteria	Acidobacteriota	Blastocatellia	Pyrinomonadales	Pyrinomonadaceae		
OTU_3331	Bacteria	Chloroflexota	Chloroflexia	Chloroflexales	Roseiflexaceae		
OTU_3332	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	Fimbriiglobus	
OTU_3333	Bacteria	Chloroflexota	Chloroflexia	Thermomicrobiales	JG30-KF-CM45		
OTU_3335	Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales			
OTU_3336	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	AKYH767		
OTU_3337	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	
OTU_3338	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Rhizobiaceae	Mesorhizobium	
OTU_3340	Bacteria	Acidobacteriota	Blastocatellia	Pyrinomonadales	Pyrinomonadaceae		
OTU_3341	Bacteria	Latescibacterota					
OTU_3343	Bacteria	Actinomycetota	Actinobacteria	Kitasatosporales	Streptomycetaceae	Streptomyces	
OTU_3345	Bacteria	Actinomycetota	Actinobacteria	Frankiales	Frankiaceae	Frankia	
OTU_3346	Bacteria	Gemmatimonadota	Gemmatimonadia	Gemmatimonadales	Gemmatimonadaceae		
OTU_3348	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	WD2101 soil group		
OTU_3349	Bacteria	Acidobacteriota	Thermoanaerobaculia	Thermoanaerobaculales	Thermoanaerobaculaceae	Subgroup 10	
OTU_3350	Bacteria	Acidobacteriota	Blastocatellia	Blastocatellales	Blastocatellaceae	Stenotrophobacter	
OTU_3351	Bacteria	Actinomycetota	Thermoleophilia	Solirubrobacterales	67-14		
OTU_3352	Bacteria	Acidobacteriota	Blastocatellia	Pyrinomonadales	Pyrinomonadaceae	Arenimicrobium	
OTU_3354	Bacteria	Actinomycetota	Acidimicrobiia	Acidimicrobiales	Acidimicrobiaceae		
OTU_3355	Bacteria	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	
OTU_3356	Bacteria	Gemmatimonadota	Gemmatimonadia	Gemmatimonadales	Gemmatimonadaceae		
OTU_3357	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Spirosomataceae	Spirosoma	
OTU_3358	Bacteria	Chloroflexota	Chloroflexia	Thermomicrobiales	JG30-KF-CM45		
OTU_3360	Bacteria	Myxococcota	Polyangiia	Haliangiales	Haliangiaceae		
OTU_3361	Bacteria	Verrucomicrobiota	Verrucomicrobiia	Pedosphaerales	Pedosphaeraceae		
OTU_3362	Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	Vicinamibacteraceae		
OTU_3363	Bacteria	Actinomycetota	Acidimicrobiia	Acidimicrobiales	Acidimicrobiaceae	Acidiferrimicrobium	
OTU_3364	Bacteria	Actinomycetota	Thermoleophilia	Gaiellales	Gaiellaceae	Gaiella	
OTU_3365	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	A21b		
OTU_3366	Bacteria	Planctomycetota	Planctomycetes	Isosphaerales	Isosphaeraceae		
OTU_3368	Bacteria	Pseudomonadota	Gammaproteobacteria	Salinisphaerales	Nevskiaceae	Polycyclovorans	
OTU_3369	Bacteria	Pseudomonadota	Gammaproteobacteria	Gammaproteobacteria Incertae Sedis	Unknown Family	Acidibacter	
OTU_3370	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Microscillaceae	Ohtaekwangia	
OTU_3371	Bacteria	Verrucomicrobiota	Verrucomicrobiia	Chthoniobacterales	Chthoniobacteraceae	Candidatus Udaeobacter	
OTU_3372	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Microscillaceae	Ohtaekwangia	
OTU_3373	Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales			
OTU_3374	Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales			
OTU_3375	Bacteria	Chloroflexota	Ktedonobacteria	Ktedonobacterales	Ktedonobacteraceae		
OTU_3376	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	WD2101 soil group		
OTU_3377	Bacteria	Chloroflexota	TK10				
OTU_3380	Bacteria	Acidobacteriota	Subgroup 5				
OTU_3381	Bacteria	Verrucomicrobiota	Verrucomicrobiia	Chthoniobacterales	Chthoniobacteraceae	Candidatus Udaeobacter	
OTU_3382	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	UTBCD1	
OTU_3383	Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	Vicinamibacteraceae		
OTU_3385	Bacteria	Actinomycetota	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Pseudonocardia	
OTU_3386	Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales			
OTU_3387	Bacteria	Actinomycetota	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae		
OTU_3388	Bacteria	Acidobacteriota	Acidobacteriae	Bryobacterales	Bryobacteraceae	Bryobacter	
OTU_3389	Bacteria	Actinomycetota	Acidimicrobiia	Microtrichales	Iamiaceae	Aquihabitans	
OTU_3390	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Paracoccaceae	Planktotalea	
OTU_3392	Bacteria	Actinomycetota	Actinobacteria	Frankiales			
OTU_3393	Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales			
OTU_3395	Bacteria	Actinomycetota	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Pseudonocardia	
OTU_3396	Bacteria	Actinomycetota	Actinobacteria	Propionibacteriales	Nocardioidaceae	Nocardioides	
OTU_3399	Bacteria	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acetobacteraceae		
OTU_3400	Bacteria	Actinomycetota	Thermoleophilia	Gaiellales			
OTU_3401	Bacteria	Chloroflexota	Anaerolineae	Anaerolineales	Anaerolineaceae		
OTU_3402	Bacteria	Acidobacteriota	Subgroup 22				
OTU_3406	Bacteria	Actinomycetota	Actinobacteria	Kineosporiales	Kineosporiaceae	Kineosporia	
OTU_3409	Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales			
OTU_3410	Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	Vicinamibacteraceae		
OTU_3411	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	Fimbriiglobus	
OTU_3415	Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales			
OTU_3418	Bacteria	Acidobacteriota	Acidobacteriae	Bryobacterales	Bryobacteraceae	Bryobacter	
OTU_3419	Bacteria	Actinomycetota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Paraconexibacter	
OTU_3420	Bacteria	Planctomycetota	Planctomycetes	Planctomycetales			
OTU_3422	Bacteria	Planctomycetota	Planctomycetes	Isosphaerales	Isosphaeraceae	Singulisphaera	
OTU_3423	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Mucilaginibacter	
OTU_3424	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae		
OTU_3425	Bacteria	Actinomycetota	Actinobacteria	Micromonosporales	Micromonosporaceae		
OTU_3426	Bacteria	Actinomycetota	Actinobacteria	Micromonosporales	Micromonosporaceae	Stackebrandtia	
OTU_3427	Bacteria	Actinomycetota	Acidimicrobiia	Microtrichales	Ilumatobacteraceae	Desertimonas	
OTU_3428	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	LWQ8		
OTU_3429	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Xanthobacteraceae		
OTU_3430	Bacteria	Verrucomicrobiota	Verrucomicrobiia	Pedosphaerales	Pedosphaeraceae		
OTU_3431	Bacteria	Actinomycetota	Actinobacteria	Frankiales	Frankiaceae	Jatrophihabitans	
OTU_3433	Bacteria	Myxococcota	Polyangiia	Haliangiales	Haliangiaceae		
OTU_3434	Bacteria	Actinomycetota	MB-A2-108				
OTU_3435	Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales			
OTU_3436	Bacteria	Verrucomicrobiota	Verrucomicrobiia	Pedosphaerales	Pedosphaeraceae		
OTU_3438	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae		
OTU_3439	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Beijerinckiaceae	Psychroglaciecola	
OTU_3440	Bacteria						
OTU_3442	Bacteria	Pseudomonadota	Alphaproteobacteria	Caulobacterales	Hyphomonadaceae	SWB02	
OTU_3443	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	Gemmata	
OTU_3444	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Xanthobacteraceae		
OTU_3445	Bacteria	Actinomycetota	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Actinophytocola	
OTU_3446	Bacteria	Actinomycetota	Thermoleophilia	Gaiellales			
OTU_3447	Bacteria	Gemmatimonadota	Gemmatimonadia	Gemmatimonadales	Gemmatimonadaceae		
OTU_3448	Bacteria	Gemmatimonadota	Gemmatimonadia	Gemmatimonadales	Gemmatimonadaceae	Gemmatimonas	
OTU_3449	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	NS9 marine group		
OTU_3450	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	B1-7BS		
OTU_3451	Bacteria	Chloroflexota	Anaerolineae	Anaerolineales	Anaerolineaceae		
OTU_3452	Bacteria	Actinomycetota	Thermoleophilia	Gaiellales	Gaiellaceae	Gaiella	
OTU_3453	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Hymenobacteraceae	Hymenobacter	
OTU_3454	Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	Vicinamibacteraceae		
OTU_3457	Bacteria	Chloroflexota	Chloroflexia	Kallotenuales	AKIW781		
OTU_3458	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Flavitalea	
OTU_3459	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pirellula	
OTU_3461	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae		
OTU_3462	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Hyphomicrobiales Incertae Sedis	Nordella	
OTU_3463	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae		
OTU_3464	Bacteria	Myxococcota	Polyangiia	Polyangiales	Polyangiaceae	Sorangium	
OTU_3465	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Olivibacter	
OTU_3466	Bacteria	Chloroflexota	Chloroflexia	Thermomicrobiales	AKYG1722		
OTU_3470	Bacteria	Myxococcota	Polyangiia	Polyangiales	BIrii41		
OTU_3471	Bacteria	Actinomycetota	Actinobacteria	Mycobacteriales	Mycobacteriaceae	Mycobacterium	
OTU_3473	Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	Vicinamibacteraceae		
OTU_3474	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pirellula	
OTU_3476	Bacteria	Chloroflexota	Anaerolineae	Aggregatilineales	A4b		
OTU_3477	Bacteria	Actinomycetota	Actinobacteria	Micrococcales	Microbacteriaceae	Agromyces	iriomotensis
OTU_3478	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Xanthobacteraceae	Rhodoplanes	
OTU_3480	Bacteria	Gemmatimonadota	Gemmatimonadia	Gemmatimonadales	Gemmatimonadaceae		
OTU_3481	Bacteria	Acidobacteriota	Subgroup 5				
OTU_3483	Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales			
OTU_3484	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Nitrosomonadaceae	MND1	
OTU_3487	Bacteria	Acidobacteriota	Acidobacteriae	Bryobacterales	Bryobacteraceae	Bryobacter	
OTU_3488	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Hymenobacteraceae	Hymenobacter	
OTU_3491	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pir4 lineage	
OTU_3492	Bacteria	Myxococcota	Polyangiia	Haliangiales	Haliangiaceae		
OTU_3493	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Xanthobacteraceae	Afipia	
OTU_3494	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Microscillaceae		
OTU_3495	Bacteria	Myxococcota	Polyangiia	Nannocystales	Nannocystaceae	Nannocystis	
OTU_3497	Bacteria	Actinomycetota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Baekduia	
OTU_3499	Bacteria	Actinomycetota	Acidimicrobiia	Acidimicrobiales	Acidimicrobiaceae	Acidiferrimicrobium	
OTU_3501	Bacteria	Actinomycetota	Actinobacteria	Propionibacteriales	Nocardioidaceae	Marmoricola	
OTU_3503	Bacteria	Actinomycetota	Actinobacteria	Frankiales	Frankiaceae	Jatrophihabitans	
OTU_3504	Bacteria	Chlamydiota	Chlamydiia	Chlamydiales	Parachlamydiaceae		
OTU_3505	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	SC-I-84		
OTU_3507	Bacteria	Verrucomicrobiota	Verrucomicrobiia	Chthoniobacterales	Chthoniobacteraceae	Chthoniobacter	
OTU_3508	Bacteria	Actinomycetota	Actinobacteria	Frankiales	Nakamurellaceae	Nakamurella	
OTU_3511	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pir4 lineage	
OTU_3512	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pir4 lineage	
OTU_3513	Bacteria	Pseudomonadota	Alphaproteobacteria	Micropepsales	Micropepsaceae		
OTU_3514	Bacteria	Verrucomicrobiota	Verrucomicrobiia	Chthoniobacterales	Chthoniobacteraceae	Candidatus Udaeobacter	
OTU_3515	Bacteria	Chloroflexota	Chloroflexia	Kallotenuales	AKIW781		
OTU_3516	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	WD2101 soil group		
OTU_3518	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Caenimonas	
OTU_3521	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Labraceae	Labrys	
OTU_3522	Bacteria	Actinomycetota	Thermoleophilia	Solirubrobacterales	67-14		
OTU_3524	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Xanthobacteraceae		
OTU_3525	Bacteria	Actinomycetota	Thermoleophilia	Gaiellales	Gaiellaceae	Gaiella	
OTU_3526	Bacteria	Actinomycetota	Actinobacteria	Frankiales	Frankiaceae	Jatrophihabitans	
OTU_3527	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Rhizobiaceae		
OTU_3528	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	Gemmata	
OTU_3529	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	WD2101 soil group		
OTU_3531	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	
OTU_3533	Bacteria	Verrucomicrobiota	Verrucomicrobiia	Pedosphaerales	Pedosphaeraceae		
OTU_3535	Bacteria	Actinomycetota	Acidimicrobiia	Microtrichales	Iamiaceae	Iamia	
OTU_3536	Bacteria	Acidobacteriota	Blastocatellia	Pyrinomonadales	Pyrinomonadaceae		
OTU_3537	Bacteria	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acetobacteraceae		
OTU_3538	Bacteria	Actinomycetota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Solirubrobacter	
OTU_3540	Bacteria	Actinomycetota	Acidimicrobiia	Acidimicrobiales	Acidimicrobiaceae		
OTU_3541	Bacteria	Planctomycetota	OM190				
OTU_3542	Bacteria	Actinomycetota	Acidimicrobiia	Microtrichales			
OTU_3543	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Nitrosomonadaceae	Ellin6067	
OTU_3544	Bacteria	Actinomycetota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Solirubrobacter	
OTU_3545	Bacteria	Acidobacteriota	Blastocatellia	Blastocatellales	Blastocatellaceae	JGI 0001001-H03	
OTU_3546	Bacteria	Actinomycetota	Acidimicrobiia	Microtrichales	Ilumatobacteraceae		
OTU_3547	Bacteria	Planctomycetota	OM190				
OTU_3549	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	A21b		
OTU_3550	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Rhizobiaceae	Aureimonas	
OTU_3553	Bacteria	Actinomycetota	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Actinophytocola	
OTU_3554	Bacteria	WS2					
OTU_3555	Bacteria	Actinomycetota	Thermoleophilia	Solirubrobacterales	67-14		
OTU_3556	Bacteria	Gemmatimonadota	Gemmatimonadia	Gemmatimonadales	Gemmatimonadaceae		
OTU_3558	Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	Vicinamibacteraceae	Luteitalea	
OTU_3559	Bacteria	Pseudomonadota	Alphaproteobacteria	Elsterales	Elsteraceae		
OTU_3560	Bacteria	Verrucomicrobiota	Verrucomicrobiia	Pedosphaerales	Pedosphaeraceae	ADurb.Bin063-1	
OTU_3562	Bacteria	Actinomycetota	Thermoleophilia	Solirubrobacterales	67-14		
OTU_3563	Bacteria	Acidobacteriota	Acidobacteriae	Bryobacterales	Bryobacteraceae	Bryobacter	
OTU_3564	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales			
OTU_3565	Bacteria	Cyanobacteriota	Vampirivibrionia	Obscuribacterales	Obscuribacteraceae		
OTU_3566	Bacteria	Chloroflexota	Dehalococcoidia	SAR202 clade			
OTU_3567	Bacteria	Acidobacteriota	Blastocatellia	Blastocatellales	Blastocatellaceae		
OTU_3570	Bacteria	Chloroflexota	Anaerolineae	Caldilineales	Caldilineaceae		
OTU_3571	Bacteria	Elusimicrobiota	Lineage IIa				
OTU_3574	Bacteria	Actinomycetota	Actinobacteria	Frankiales	Frankiaceae	Jatrophihabitans	
OTU_3576	Bacteria	Acidobacteriota	Blastocatellia	Nov-24			
OTU_3577	Bacteria	Acidobacteriota	Blastocatellia	DS-100			
OTU_3579	Bacteria	Chloroflexota	Chloroflexia	Chloroflexales	Roseiflexaceae		
OTU_3580	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	Gemmata	
OTU_3582	Bacteria	Acidobacteriota	Acidobacteriae	Bryobacterales	Bryobacteraceae	Bryobacter	
OTU_3584	Bacteria	Planctomycetota	Planctomycetes	Planctomycetales			
OTU_3585	Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	Vicinamibacteraceae		
OTU_3586	Bacteria	Actinomycetota	Actinobacteria	Mycobacteriales	Nocardiaceae	Rhodococcus	erythropolis
OTU_3590	Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	Vicinamibacteraceae		
OTU_3591	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Rhizobiaceae	Mesorhizobium	
OTU_3592	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae		
OTU_3593	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae		
OTU_3594	Bacteria	Actinomycetota	Acidimicrobiia	Acidimicrobiales	Acidimicrobiaceae		
OTU_3596	Bacteria	Acidobacteriota	Vicinamibacteria	Subgroup 17			
OTU_3598	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	Saccharimonadaceae	TM7a	
OTU_3599	Bacteria	Verrucomicrobiota	Verrucomicrobiia	Chthoniobacterales	Chthoniobacteraceae	Candidatus Udaeobacter	
OTU_3600	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pir4 lineage	
OTU_3601	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Terrimonas	
OTU_3602	Bacteria	Actinomycetota	Thermoleophilia	Solirubrobacterales	67-14		
OTU_3603	Bacteria	Actinomycetota	Thermoleophilia	Solirubrobacterales	67-14		
OTU_3605	Bacteria	Acidobacteriota	Vicinamibacteria	Subgroup 17			
OTU_3606	Bacteria	Actinomycetota	Acidimicrobiia	Acidimicrobiales	Acidimicrobiaceae	Acidiferrimicrobium	
OTU_3607	Bacteria	Actinomycetota	Actinobacteria	Frankiales	Sporichthyaceae		
OTU_3608	Bacteria	Actinomycetota	Acidimicrobiia	Acidimicrobiales	Acidimicrobiaceae	Acidiferrimicrobium	
OTU_3609	Bacteria	Acidobacteriota	Vicinamibacteria	Subgroup 17			
OTU_3610	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	WD2101 soil group		
OTU_3611	Bacteria	Verrucomicrobiota	Verrucomicrobiia	Opitutales	Opitutaceae	Opitutus	
OTU_3612	Bacteria	Chloroflexota	TK10				
OTU_3613	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	SC-I-84		
OTU_3614	Bacteria	Actinomycetota	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Amycolatopsis	
OTU_3616	Bacteria	Myxococcota	Polyangiia	Haliangiales	Haliangiaceae		
OTU_3617	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae		
OTU_3618	Bacteria	Myxococcota	Polyangiia	Polyangiales	Sandaracinaceae		
OTU_3619	Bacteria	Chloroflexota	Chloroflexia	Thermomicrobiales	JG30-KF-CM45		
OTU_3620	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	WWH38		
OTU_3621	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	SC-I-84		
OTU_3622	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae		
OTU_3623	Bacteria	Actinomycetota	Actinobacteria	Frankiales	Acidothermaceae	Acidothermus	
OTU_3624	Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	Vicinamibacteraceae		
OTU_3625	Bacteria	Pseudomonadota	Alphaproteobacteria	Dongiales	Dongiaceae	Dongia	
OTU_3626	Bacteria	Chlamydiota	Chlamydiia	Chlamydiales	Parachlamydiaceae	Candidatus Protochlamydia	
OTU_3627	Bacteria	Gemmatimonadota	Gemmatimonadia	Gemmatimonadales	Gemmatimonadaceae	Gemmatimonas	
OTU_3628	Bacteria	Actinomycetota	Actinobacteria	Kineosporiales	Kineosporiaceae	Kineosporia	
OTU_3629	Bacteria	Actinomycetota	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Kibdelosporangium	
OTU_3630	Bacteria	Actinomycetota	Actinobacteria	Propionibacteriales	Nocardioidaceae	Nocardioides	
OTU_3632	Bacteria	Myxococcota	Polyangiia	Haliangiales	Haliangiaceae		
OTU_3634	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	LWQ8		
OTU_3636	Bacteria	Verrucomicrobiota	Verrucomicrobiia	Opitutales	Opitutaceae	Oleiharenicola	
OTU_3640	Bacteria	Chloroflexota	Anaerolineae	Caldilineales	Caldilineaceae		
OTU_3641	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pir4 lineage	
OTU_3643	Bacteria	Pseudomonadota	Gammaproteobacteria	Coxiellales	Coxiellaceae	Coxiella	
OTU_3644	Bacteria	Pseudomonadota	Alphaproteobacteria				
OTU_3645	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	WD2101 soil group		
OTU_3647	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae		
OTU_3648	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	Tepidisphaeraceae	Tepidisphaera	
OTU_3649	Bacteria	Acidobacteriota	Blastocatellia	Pyrinomonadales	Pyrinomonadaceae		
OTU_3650	Bacteria	Chloroflexota	Chloroflexia	Kallotenuales	AKIW781		
OTU_3651	Bacteria	Actinomycetota	Actinobacteria	Micrococcales	Micrococcaceae	Arthrobacter	agilis
OTU_3653	Bacteria	Chloroflexota	Ktedonobacteria	C0119			
OTU_3654	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	WD2101 soil group		
OTU_3656	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Nitrosomonadaceae	Ellin6067	
OTU_3660	Bacteria	Planctomycetota	Planctomycetes	Planctomycetales			
OTU_3662	Bacteria	Actinomycetota	Actinobacteria	Propionibacteriales	Nocardioidaceae	Flindersiella	
OTU_3663	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae		
OTU_3664	Bacteria	Actinomycetota	Actinobacteria	Propionibacteriales	Nocardioidaceae	Nocardioides	
OTU_3666	Bacteria	Actinomycetota	Thermoleophilia				
OTU_3667	Bacteria	Actinomycetota	Thermoleophilia	Solirubrobacterales	67-14		
OTU_3668	Bacteria	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acetobacteraceae		
OTU_3669	Bacteria	Acidobacteriota	Blastocatellia	Nov-24			
OTU_3670	Bacteria	Gemmatimonadota	Gemmatimonadia	Gemmatimonadales	Gemmatimonadaceae	Gemmatimonas	
OTU_3673	Bacteria	Actinomycetota	Actinobacteria	Catenulisporales	Actinospicaceae	Actinospica	
OTU_3674	Bacteria	Actinomycetota	Thermoleophilia	Solirubrobacterales	67-14		
OTU_3675	Bacteria	Actinomycetota	Thermoleophilia				
OTU_3677	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae		
OTU_3678	Bacteria	Verrucomicrobiota	Verrucomicrobiia	Verrucomicrobiales	Rubritaleaceae	Luteolibacter	
OTU_3679	Bacteria	Actinomycetota	Actinobacteria	Frankiales	Sporichthyaceae		
OTU_3680	Bacteria	Actinomycetota	Actinobacteria	Micromonosporales	Micromonosporaceae	Allocatelliglobosispora	
OTU_3681	Bacteria	Bacteroidota	Bacteroidia	Cytophagales			
OTU_3682	Bacteria	Actinomycetota	Actinobacteria				
OTU_3683	Bacteria	Actinomycetota	Thermoleophilia	Solirubrobacterales	67-14		
OTU_3684	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	WD2101 soil group		
OTU_3685	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	KF-JG30-B3		
OTU_3686	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	Gemmata	
OTU_3687	Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales			
OTU_3688	Bacteria	Actinomycetota	Thermoleophilia	Gaiellales	Gaiellaceae	Gaiella	
OTU_3690	Bacteria	Chloroflexota	Anaerolineae	Ardenticatenales	Ardenticatenaceae		
OTU_3691	Bacteria	Myxococcota	Polyangiia	Polyangiales	Phaselicystaceae	Phaselicystis	
OTU_3692	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	TRA3-20		
OTU_3695	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	Tepidisphaeraceae		
OTU_3696	Bacteria	Actinomycetota	Actinobacteria	Propionibacteriales	Nocardioidaceae	Nocardioides	
OTU_3698	Bacteria	Pseudomonadota	Alphaproteobacteria	Elsterales	URHD0088		
OTU_3700	Bacteria	Chloroflexota	Chloroflexia	Thermomicrobiales	JG30-KF-CM45		
OTU_3701	Bacteria	Acidobacteriota	Holophagae	Subgroup 7			
OTU_3702	Bacteria	Actinomycetota	Actinobacteria	Streptosporangiales	Streptosporangiaceae	Nonomuraea	
