	Kingdom	Phylum	Class	Order	Family	Genus	Species
OTU_68	Bacteria	Actinomycetota	Thermoleophilia	Solirubrobacterales	67-14		
OTU_69	Bacteria	Actinomycetota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Solirubrobacter	
OTU_70	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales			
OTU_71	Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales			
OTU_72	Bacteria	Verrucomicrobiota	Verrucomicrobiia	Chthoniobacterales	Chthoniobacteraceae	Candidatus Udaeobacter	
OTU_73	Bacteria	Pseudomonadota	Gammaproteobacteria	PLTA13			
OTU_74	Bacteria	Actinomycetota	Actinobacteria	Frankiales	Sporichthyaceae		
OTU_75	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Beijerinckiaceae	Microvirga	ossetica
OTU_76	Bacteria	Actinomycetota	Thermoleophilia	Gaiellales			
OTU_77	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	WD2101 soil group		
OTU_78	Bacteria	Actinomycetota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Solirubrobacter	
OTU_79	Bacteria	Actinomycetota	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Microlunatus	
OTU_80	Bacteria	Actinomycetota	Actinobacteria	Mycobacteriales	Mycobacteriaceae	Mycobacterium	madagascariense
OTU_81	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Rhizobiaceae	Agrobacterium	radiobacter
OTU_82	Bacteria	Chloroflexota	KD4-96				
OTU_83	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Hyphomicrobiaceae	Pedomicrobium	
OTU_84	Bacteria	Actinomycetota	Thermoleophilia	Gaiellales			
OTU_85	Bacteria	Actinomycetota	Thermoleophilia	Gaiellales	Gaiellaceae	Gaiella	
OTU_86	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Xanthobacteraceae		
OTU_87	Bacteria	Gemmatimonadota	Gemmatimonadia	Gemmatimonadales	Gemmatimonadaceae		
OTU_88	Bacteria	RCP2-54					
OTU_89	Bacteria	Planctomycetota	Planctomycetes	Isosphaerales	Isosphaeraceae		
OTU_90	Bacteria	Actinomycetota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Solirubrobacter	
OTU_91	Bacteria	Actinomycetota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Solirubrobacter	
OTU_92	Bacteria	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	
OTU_93	Bacteria	Gemmatimonadota	Gemmatimonadia	Gemmatimonadales	Gemmatimonadaceae		
OTU_94	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Devosiaceae	Devosia	
OTU_95	Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales			
OTU_96	Bacteria	Actinomycetota	Actinobacteria				
OTU_97	Bacteria	Actinomycetota	Thermoleophilia	Gaiellales			
OTU_98	Bacteria	Actinomycetota	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Pseudonocardia	
OTU_99	Bacteria	Actinomycetota	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Microlunatus	
OTU_100	Bacteria	Acidobacteriota	Acidobacteriae	Bryobacterales	Bryobacteraceae	Bryobacter	
OTU_101	Bacteria	Actinomycetota	Thermoleophilia	Gaiellales			
OTU_102	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Xanthobacteraceae		
OTU_103	Bacteria	Actinomycetota	Thermoleophilia	Gaiellales			
OTU_105	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Rhizobiaceae	Rhizobium	phaseoli
OTU_106	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Rhizobiaceae	Pseudaminobacter	
OTU_107	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Rhizobiaceae	Phyllobacterium	endophyticum
OTU_108	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Niallia	
OTU_109	Bacteria	Actinomycetota	Thermoleophilia	Gaiellales			
OTU_110	Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	Vicinamibacteraceae		
OTU_111	Bacteria	Actinomycetota	Rubrobacteria	Rubrobacterales	Rubrobacteriaceae	Rubrobacter	
OTU_112	Bacteria	Acidobacteriota	Holophagae	Subgroup 7			
OTU_113	Bacteria	Actinomycetota	Actinobacteria	Propionibacteriales	Nocardioidaceae	Aeromicrobium	ginsengisoli
OTU_114	Bacteria	Verrucomicrobiota	Verrucomicrobiia	Chthoniobacterales	Chthoniobacteraceae	Candidatus Udaeobacter	
OTU_115	Bacteria	Actinomycetota	Thermoleophilia	Solirubrobacterales	67-14		
OTU_116	Bacteria	Verrucomicrobiota	Verrucomicrobiia	Chthoniobacterales	Chthoniobacteraceae	Candidatus Udaeobacter	
OTU_117	Bacteria	Chloroflexota	KD4-96				
